"Freq [GHz]","dB(S(1,1)) [] - $eps1='1' $eps2='0'","dB(S(1,1)) [] - $eps1='2' $eps2='0.1'","dB(S(1,1)) [] - $eps1='3' $eps2='0.2'","dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='13' $eps2='3.1'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='13' $eps2='3.1'"
0.1,-0.0168585680960856,-0.0230780868560183,-0.0261738090868676,-0.0273972678599137,-0.0310924444198453,-0.0303211091018986,-0.029188567353884,-0.0255310826788965,-0.0223923061537694,-0.0216992759133493,-0.021120549953383,-0.020977329389461,-0.0209549573119991,-8.14897102894969,-8.60359842269729,-8.92187269071851,-9.19882704838928,-9.40867378381357,-9.55818349916247,-9.67974772313615,-9.71018977340372,-9.78370073862915,-9.80252948432921,-9.7429320994631,-9.8026132716297,-9.80376753447305
0.10782,-0.0188419184639297,-0.0256144280714729,-0.028993868758724,-0.0303059027584677,-0.0343824015949195,-0.0337710125350195,-0.032575894479893,-0.0285582185862496,-0.024948496849828,-0.0241327030111117,-0.0234706169191573,-0.0232902411562962,-0.0232601765105587,-8.79265778959341,-9.28229558397287,-9.62556559066117,-9.92463385320549,-10.1502811769965,-10.312170288422,-10.4442525336766,-10.479130334845,-10.5595853564251,-10.5799829217561,-10.5155724368182,-10.5801185763255,-10.5813175647958
0.11564,-0.0209311226103954,-0.0282659747930427,-0.0319326272404305,-0.033329222558066,-0.0377883874418768,-0.0373454518619611,-0.0360904850464845,-0.0317186997115554,-0.0276123494774158,-0.0266626784406368,-0.0259113836876269,-0.0256895537555326,-0.0256501735623994,-9.43827463595441,-9.9630964071887,-10.3315368036818,-10.652902862706,-10.8944363133288,-11.0687573302016,-11.2114873921486,-11.2510404393212,-11.3386738886352,-11.3606724005992,-11.291398909998,-11.3608671401644,-11.3621064464584
0.12346,-0.0231272845726848,-0.0310337458243341,-0.0349907048146659,-0.0364673733006477,-0.0413104043067558,-0.0410429726442369,-0.0397300335200533,-0.0350105810365386,-0.0303829279834824,-0.0292881733905538,-0.0284414104571697,-0.0281738302267347,-0.0281235087063768,-10.0859960198793,-10.6462093277854,-11.0400211585716,-11.3838919978297,-11.6414254575851,-11.8282523270023,-11.9817707044019,-12.0262300907262,-12.1212859076221,-12.1449216481709,-12.0707297015238,-12.1451830370256,-12.1464590108731
0.13128,-0.0254315124017981,-0.0339187757392516,-0.0381687707116466,-0.0397206056459638,-0.0449487138650365,-0.0448628469586051,-0.0434931969465639,-0.0384326530080134,-0.0332599513731749,-0.0320088386307356,-0.0310598772294086,-0.0307422721812022,-0.0306794070759725,-10.7359968799318,-11.3318429109451,-11.751253945721,-12.1178602176014,-12.3915354420278,-12.5909633535345,-12.7554225183677,-12.8050134196936,-12.9077450396334,-12.9330583799344,-12.8538872647148,-12.9333945706136,-12.9347041892593
0.1391,-0.0278449312644418,-0.0369221325974894,-0.0414675664936819,-0.0430893033038874,-0.0487038557864722,-0.0488049994040327,-0.047379494811389,-0.0419844229515418,-0.0362437850383357,-0.0348249881721861,-0.0337665811292115,-0.0333947104072452,-0.0333177426382842,-11.3884531296717,-12.0202065799081,-12.4654717532351,-12.8550683734234,-13.145054623599,-13.3571996758368,-13.5327648726853,-13.5877087685697,-13.6983790808663,-13.7254144008574,-13.6411984278343,-13.7258343889156,-13.7271750966581
0.14692,-0.030368694501103,-0.0400449333930356,-0.0448879265967677,-0.0465740074933477,-0.0525766622887243,-0.0528699500236924,-0.0513892218862546,-0.0456660839482964,-0.0393354169729704,-0.0377375681950681,-0.0365619178012261,-0.0361315798219282,-0.0360390069064938,-12.0435420700713,-12.711511213954,-13.1829131611802,-13.5957799026039,-13.9022736615329,-14.1272724363691,-14.3141221929474,-14.3746387674811,-14.4935201313678,-14.5223257144334,-14.4329945106112,-14.5228396000108,-14.5242091436105
0.15474,-0.0330039931760755,-0.0432883579540361,-0.048430796922718,-0.0501754380931971,-0.0565682694610883,-0.0570587690634877,-0.055523372919439,-0.0494784768517422,-0.0425364243344795,-0.0407481170366838,-0.0394468518433102,-0.0389538842686545,-0.0388442680248078,-12.7014427432428,-13.4059696752849,-13.9038193202515,-14.3402614283664,-14.6634861751186,-14.9014952996363,-15.0998217152918,-15.1661305216148,-15.2935047800383,-15.3241327360716,-15.2296114935036,-15.3247519596349,-15.32614821957
0.16256,-0.0357520646138347,-0.0466536615800357,-0.0520972516355801,-0.0538945117124642,-0.0606801254095313,-0.0613730400565883,-0.0597835776468698,-0.0534230491121633,-0.0458489345701273,-0.043858720445944,-0.0424228806756539,-0.0418631553314887,-0.0417351247148911,-13.3623362712397,-14.1037972625816,-14.628434486764,-15.0887832769022,-15.4289893053931,-15.6801850236029,-15.890193945652,-15.9625158287493,-16.0986743440806,-16.1311805292272,-16.03139023236,-16.1319181063369,-16.1333389264105
0.17038,-0.0386142001679123,-0.0501421868661007,-0.0558885084773727,-0.0577323573526541,-0.064913996056548,-0.0658148291560236,-0.0641720450424238,-0.057501813457805,-0.0492755843424779,-0.0470719655120165,-0.045491994829057,-0.0448614086717591,-0.0447136585554591,-14.0264061366484,-14.8052121335977,-15.3570064687434,-15.8416199350968,-16.1990842415824,-16.4636620068807,-16.6855731241538,-16.7641314595339,-16.9093751801683,-16.94381913703,-16.8386767250954,-16.9446898642798,-16.9461328956975
