"Freq [GHz]","dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='6.5' $eps2='1'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(1,1)) [] - $eps1='13.5' $eps2='3.25'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(1,1)) [deg] - $eps1='13.5' $eps2='3.25'"
0.1,-0.09961455602,-0.1025607915,-0.1035405772,-0.1029977708,-0.1189529144,-0.09985160924,-0.09904369954,-0.09721689688,-0.09504956555,-0.09301258272,-0.09147763891,-0.0906704803,-0.0903103737,-0.08952415619,-0.08890580619,-0.08823981766,-0.0883871955,-0.08812277762,-0.08805157878,-39.85803343,-39.56565059,-39.71367635,-39.73945083,-43.62082895,-39.44415913,-39.47078113,-39.57079437,-39.58403822,-39.6586148,-39.55700075,-39.37119988,-39.56114503,-39.30273363,-39.2515923,-39.0237431,-39.09000228,-39.05549734,-39.20821294
0.1056751468,-0.1051355971,-0.1083725071,-0.109495717,-0.1090342786,-0.1260245473,-0.1058529209,-0.10504103,-0.1031302312,-0.1007881934,-0.09854763258,-0.09682631266,-0.09594173722,-0.09554368034,-0.09467930932,-0.0940162989,-0.09331617218,-0.09346534552,-0.09318651178,-0.09311706248,-42.06301661,-41.76027124,-41.91603046,-41.94456688,-46.010968,-41.63844863,-41.66793662,-41.7744088,-41.78974073,-41.86927907,-41.76331145,-41.56850412,-41.76756309,-41.49705902,-41.44319156,-41.2043696,-41.27394953,-41.23770785,-41.39817952
0.1113502935,-0.1106615598,-0.1142104464,-0.1154868924,-0.1151164425,-0.1331501666,-0.1119170021,-0.1111088263,-0.1091230505,-0.1066077801,-0.1041579637,-0.1022385308,-0.1012731304,-0.100834015,-0.09988753699,-0.09917582392,-0.09844229071,-0.0985929115,-0.09829992277,-0.09823349085,-44.26226236,-43.95019988,-44.11363476,-44.14512833,-48.39175007,-43.82898484,-43.86152808,-43.97452158,-43.99211488,-44.07675166,-43.96665475,-43.76306262,-43.97098405,-43.68877028,-43.63219302,-43.38267625,-43.45552006,-43.41756569,-43.58566305
0.1170254403,-0.1161999136,-0.1200840914,-0.1215246608,-0.1212556999,-0.1403447309,-0.1180560005,-0.1172598389,-0.1152085664,-0.1125222612,-0.1098584947,-0.107728911,-0.106679052,-0.1061956989,-0.1051628227,-0.1043979999,-0.1036316808,-0.1037835004,-0.1034765846,-0.1034147513,-46.45581927,-46.13553462,-46.30659244,-46.34125118,-50.76320344,-46.01591777,-46.05171544,-46.17129292,-46.19132307,-46.28120727,-46.16721591,-45.95506635,-46.17159068,-45.87806328,-45.81879357,-45.55886716,-45.63491693,-45.59527323,-45.77086338
0.1227005871,-0.1217593784,-0.1260043287,-0.127621062,-0.1274650501,-0.1476254882,-0.1242837806,-0.1235085846,-0.1214017409,-0.1185472203,-0.1156658702,-0.1133137999,-0.1121755592,-0.1116446905,-0.1105207742,-0.1096981086,-0.1088994511,-0.1090523091,-0.1087316299,-0.1086762861,-48.64375952,-48.31639626,-48.49503002,-48.5330746,-53.12539358,-48.19941997,-48.23868142,-48.36490668,-48.38755116,-48.48284465,-48.36520422,-48.14472959,-48.36958955,-48.06515715,-48.00321336,-47.73316893,-47.81236587,-47.77105531,-47.95400318
0.1283757339,-0.1273499927,-0.1319835281,-0.1337896931,-0.1337591137,-0.1550120046,-0.1306159403,-0.129871345,-0.127719277,-0.1246998611,-0.1215984195,-0.119011232,-0.1177803207,-0.1171985153,-0.1159785667,-0.1150930524,-0.1142622576,-0.11441606,-0.1140816786,-0.114035002,-50.82618072,-50.49293026,-50.67909942,-50.72076307,-55.47842541,-50.37968859,-50.42263363,-50.55557252,-50.58101071,-50.6818888,-50.560855,-50.33229205,-50.56521321,-50.25029631,-50.18569783,-49.90583279,-49.98811732,-49.94516136,-50.13533018
0.1340508806,-0.1329831859,-0.138035625,-0.1400457861,-0.1401541946,-0.1625262029,-0.1370698283,-0.1363661634,-0.1341796015,-0.1309989684,-0.1276760945,-0.1248408626,-0.1235125343,-0.1228761653,-0.1215548536,-0.1206012786,-0.1197382187,-0.1198929048,-0.1195447351,-0.119509146,-53.00320767,-52.66530867,-52.85897988,-52.90450833,-57.82244527,-52.55694751,-52.60380676,-52.7435281,-52.77194138,-52.87859341,-52.75443208,-52.51802132,-52.75872263,-52.43375295,-52.36651999,-52.07713688,-52.16244888,-52.11786783,-52.3151197
0.1397260274,-0.138671855,-0.1441762085,-0.1464062899,-0.1466683441,-0.1701924123,-0.1436645647,-0.1430128458,-0.1408028506,-0.1374648706,-0.1339204004,-0.1308238851,-0.1293928302,-0.128697985,-0.1272696598,-0.1262426823,-0.1253468086,-0.1255023073,-0.1251400658,-0.1251181659,-55.174994,-54.83373192,-55.03487984,-55.08453151,-60.15764306,-54.73144958,-54.782465,-54.92904164,-54.96061371,-55.0732437,-54.9462305,-54.70221575,-54.95041027,-54.6158299,-54.54598312,-54.24738911,-54.33566821,-54.28948118,-54.49367782
0.1454011742,-0.1444304475,-0.1504226141,-0.1528899565,-0.1533214314,-0.1780374329,-0.1504210723,-0.1498329746,-0.147610871,-0.1441194246,-0.1403543436,-0.1369829548,-0.1354431833,-0.1346855718,-0.1331442796,-0.1320385026,-0.1311087531,-0.1312649322,-0.1308880846,-0.1308825862,-57.34172378,-56.99843059,-57.2070389,-57.26108506,-62.48425433,-56.90347905,-56.95890468,-57.11241487,-57.14733239,-57.26615989,-57.13657999,-56.88520802,-57.14060381,-56.79686422,-56.72442409,-56.41693059,-56.50811665,-56.4603416,-56.67134545
0.1510763209,-0.1502750504,-0.1567940241,-0.1595174346,-0.1601352221,-0.1860906216,-0.1573621239,-0.1568499492,-0.1546272572,-0.1509860497,-0.1470024283,-0.1433421523,-0.1416868724,-0.1408617303,-0.1392012162,-0.1380112476,-0.1370459593,-0.1372025741,-0.1368102862,-0.1368239464,-59.50361305,-59.15966728,-59.37572969,-59.43445501,-64.80256261,-59.07335421,-59.1334573,-59.29398632,-59.33244005,-59.45770137,-59.32584907,-59.06736953,-59.32967077,-58.97723162,-58.90221746,-58.58613998,-58.68017366,-58.6308276,-58.84850318
0.1567514677,-0.1562234874,-0.1633115772,-0.1663113729,-0.1671334702,-0.1943840085,-0.164512419,-0.164089068,-0.1618774501,-0.158089843,-0.1538907445,-0.1499270292,-0.1481485334,-0.1472505374,-0.1454642144,-0.1441846899,-0.1431815291,-0.1433381806,-0.1429292801,-0.1429648629,-61.66091147,-61.31773844,-61.54126,-61.60496322,-67.11290188,-61.24143038,-61.30649287,-61.47413523,-61.51632167,-61.64827157,-61.51445013,-61.24911562,-61.518024,-61.15735181,-61.07978053,-60.75543869,-60.85226232,-60.80136157,-61.02557729
