Freq [GHz],"dB(S(1,1)) [] - $eps1='4' $eps2='0.3'","dB(S(1,1)) [] - $eps1='4.5' $eps2='0.45'","dB(S(1,1)) [] - $eps1='5' $eps2='0.6'","dB(S(1,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(1,1)) [] - $eps1='6' $eps2='0.9'","dB(S(1,1)) [] - $eps1='6.5' $eps2='1'","dB(S(1,1)) [] - $eps1='7' $eps2='1.1'","dB(S(1,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(1,1)) [] - $eps1='8' $eps2='1.4'","dB(S(1,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(1,1)) [] - $eps1='9' $eps2='1.8'","dB(S(1,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(1,1)) [] - $eps1='10' $eps2='2.1'","dB(S(1,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(1,1)) [] - $eps1='11' $eps2='2.5'","dB(S(1,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(1,1)) [] - $eps1='12' $eps2='2.8'","dB(S(1,1)) [] - $eps1='12.5' $eps2='2.95'","dB(S(1,1)) [] - $eps1='13' $eps2='3.1'","dB(S(1,1)) [] - $eps1='13.5' $eps2='3.25'","dB(S(1,1)) [] - $eps1='14' $eps2='3.4'","dB(S(1,1)) [] - $eps1='14.5' $eps2='3.55'","dB(S(1,1)) [] - $eps1='15' $eps2='3.7'","dB(S(1,1)) [] - $eps1='15.5' $eps2='3.85'","dB(S(1,1)) [] - $eps1='16' $eps2='4'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='4.5' $eps2='0.45'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(1,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(1,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(1,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(1,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(1,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(1,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(1,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(1,1)) [deg] - $eps1='12.5' $eps2='2.95'","arg(S(1,1)) [deg] - $eps1='13' $eps2='3.1'","arg(S(1,1)) [deg] - $eps1='13.5' $eps2='3.25'","arg(S(1,1)) [deg] - $eps1='14' $eps2='3.4'","arg(S(1,1)) [deg] - $eps1='14.5' $eps2='3.55'","arg(S(1,1)) [deg] - $eps1='15' $eps2='3.7'","arg(S(1,1)) [deg] - $eps1='15.5' $eps2='3.85'","arg(S(1,1)) [deg] - $eps1='16' $eps2='4'",
0.1,-0.1129794121,-0.1145793868,-0.1167376478,-0.1166668389,-0.1153322699,-0.1141972825,-0.1142159874,-0.1119091398,-0.1110179141,-0.1094059435,-0.1072983215,-0.1065370181,-0.1063780131,-0.1065818665,-0.106134479,-0.106069253,-0.1059263286,-0.1056387227,-0.1051698207,-0.1052351892,-0.1053170791,-0.1048708741,-0.105363369,-0.1056047285,-0.1049272183,-45.65233478,-45.64652558,-45.97261738,-46.03954895,-45.8375228,-45.73593351,-45.89124178,-45.85576672,-46.1133665,-46.05972228,-45.89716404,-45.69673136,-45.88769349,-46.00636085,-45.91321514,-45.92453371,-45.86655116,-45.8566426,-45.78956555,-45.69842925,-45.77234442,-45.65022488,-45.69298222,-45.75242427,-45.6479286,
0.1056751468,-0.1189581511,-0.1213471227,-0.1230068991,-0.1228827443,-0.1219339663,-0.1205500949,-0.1206385885,-0.1182891652,-0.1166403041,-0.1150393386,-0.1129943566,-0.1120821518,-0.1122885869,-0.1121896284,-0.1114205435,-0.1116134769,-0.1114548878,-0.1109811376,-0.1102689168,-0.1108284983,-0.1108120711,-0.1103454798,-0.1109076663,-0.1114422393,-0.1098056169,-48.12391823,-48.11967311,-48.46218905,-48.53228448,-48.32416848,-48.21989117,-48.38178404,-48.34918299,-48.60679329,-48.56257321,-48.39234025,-48.18332475,-48.38356477,-48.50600412,-48.41001617,-48.41963961,-48.35830738,-48.34881308,-48.27239099,-48.18581166,-48.26298159,-48.13657817,-48.18137121,-48.23667435,-48.1264136,
0.1113502935,-0.1248931648,-0.1267215557,-0.1288422546,-0.1293989213,-0.1279546952,-0.1267709676,-0.1268736536,-0.1244501296,-0.1236319364,-0.120788134,-0.118606053,-0.1177618828,-0.1178866551,-0.1176733578,-0.117122142,-0.1172550583,-0.1168435342,-0.116626552,-0.1159718767,-0.1162529978,-0.1161225916,-0.1157263419,-0.1159166646,-0.1160024312,-0.1163912166,-50.58096255,-50.58035108,-50.9418888,-51.00925174,-50.79574338,-50.68971438,-50.85860414,-50.82770557,-51.10283751,-51.05153761,-50.87144796,-50.65657354,-50.86525704,-50.99161718,-50.88768547,-50.90252343,-50.83805296,-50.82717042,-50.75664461,-50.66011787,-50.74165234,-50.60984741,-50.65031582,-50.72136626,-50.60530389,
0.1170254403,-0.1307548064,-0.1326455497,-0.1352943164,-0.1355492529,-0.1340923337,-0.1329552657,-0.1331316582,-0.1301996885,-0.1293020927,-0.1265779559,-0.124150456,-0.1229780624,-0.1232148364,-0.1230036321,-0.1225778422,-0.1230940327,-0.1218409099,-0.1217264491,-0.1214257912,-0.1215046606,-0.1215293559,-0.1208822256,-0.1212205965,-0.1213012914,-0.1208874424,-53.02317156,-53.02592651,-53.39852847,-53.474789,-53.25058296,-53.14626058,-53.32212916,-53.28758757,-53.57529635,-53.52658163,-53.33810051,-53.11829952,-53.33335524,-53.46388688,-53.35709743,-53.36469746,-53.30356609,-53.29069695,-53.21914034,-53.12219193,-53.20565657,-53.07004949,-53.1118869,-53.18790778,-53.0685517,
0.1227005871,-0.1365194087,-0.138981713,-0.1409896224,-0.1413066324,-0.1401019746,-0.1391045777,-0.1391517578,-0.1365784433,-0.1349123436,-0.1325034906,-0.1296825408,-0.1287375585,-0.1286549192,-0.1285178422,-0.1277141759,-0.1280378989,-0.1276179704,-0.1270277669,-0.1262607736,-0.1267555948,-0.1267398708,-0.126224509,-0.1264149114,-0.1267154737,-0.126289038,-55.45028498,-55.45926371,-55.83607938,-55.92505122,-55.69322474,-55.58919713,-55.76950117,-55.74300537,-56.03646029,-55.98906097,-55.7920269,-55.5658276,-55.78830747,-55.92232687,-55.80981422,-55.82550223,-55.75459083,-55.74403306,-55.66613137,-55.57115497,-55.65883367,-55.521754,-55.56075158,-55.64265601,-55.51652051,
0.1283757339,-0.1422631341,-0.1445502204,-0.1474234632,-0.1477807765,-0.1463749609,-0.1451964354,-0.1452832329,-0.1426029355,-0.1409221549,-0.1378700884,-0.1350127277,-0.1332991884,-0.1340073415,-0.1336894087,-0.1329435451,-0.1328655321,-0.1326809935,-0.1321963082,-0.131569258,-0.1319261066,-0.1318558696,-0.1313380737,-0.1315464617,-0.1316612526,-0.1313827563,-57.86244352,-57.8722756,-58.27387029,-58.35731005,-58.1259792,-58.0185383,-58.20509774,-58.18082884,-58.48504475,-58.43535402,-58.23180421,-58.00207466,-58.23069936,-58.36772057,-58.24754451,-58.26609643,-58.19446437,-58.18217561,-58.10505992,-58.00738734,-58.09790092,-57.95458205,-57.99752201,-58.08271716,-57.95178559,
0.1340508806,-0.1479154647,-0.1503556935,-0.1533266373,-0.153843226,-0.1523355461,-0.1512456181,-0.1512674807,-0.1485629995,-0.1471013049,-0.1434976443,-0.1403769764,-0.1392014274,-0.1391875989,-0.1389350395,-0.1380970266,-0.1379274533,-0.1378042016,-0.1371832063,-0.1368492352,-0.1370199557,-0.1371143291,-0.1365514727,-0.1362415452,-0.137141801,-0.1368208831,-60.25954226,-60.27409759,-60.68967233,-60.77575868,-60.541577,-60.43407805,-60.62595038,-60.60462521,-60.92053839,-60.87002395,-60.65784419,-60.42390254,-60.65807633,-60.79635665,-60.67404228,-60.69375295,-60.61984898,-60.60701528,-60.52926797,-60.43114056,-60.52539106,-60.37830689,-60.42163552,-60.51541072,-60.37595058,
0.1397260274,-0.1534968082,-0.1561024689,-0.1593796152,-0.1597451412,-0.1584935384,-0.157237682,-0.157491257,-0.1544932863,-0.1525738774,-0.1490970361,-0.1457421887,-0.1444070324,-0.1445499475,-0.1439750785,-0.1431793727,-0.1430162922,-0.1425286277,-0.1421945266,-0.1421753952,-0.1419919418,-0.1419065203,-0.1414710268,-0.1417415773,-0.1415519675,-0.1415525555,-62.64136041,-62.66119965,-63.09190693,-63.18009049,-62.9423722,-62.83596747,-63.03408061,-63.01527419,-63.33751425,-63.29102113,-63.07083556,-62.83244435,-63.08144288,-63.21825694,-63.086804,-63.10966608,-63.03180483,-63.01852952,-62.94315045,-62.84213145,-62.9386049,-62.79075216,-62.83057751,-62.92553611,-62.79044608,
0.1454011742,-0.1587540138,-0.1617742605,-0.1651096404,-0.1656062873,-0.1644428888,-0.1632356587,-0.1633889604,-0.1604490737,-0.1584328062,-0.1537993161,-0.1510334914,-0.1497018104,-0.1496351409,-0.1492395373,-0.1482164559,-0.1480795371,-0.147807898,-0.1474838911,-0.1467398411,-0.1476156296,-0.1469730467,-0.1465202983,-0.1465959096,-0.1468377181,-0.1463964271,-65.00804848,-65.03379759,-65.47691611,-65.57022547,-65.32986145,-65.22461758,-65.4275972,-65.4125217,-65.74338984,-65.69542837,-65.47065581,-65.23101965,-65.47660786,-65.62244735,-65.48627463,-65.5097012,-65.43193689,-65.41702105,-65.33644526,-65.23681806,-65.33957424,-65.19018627,-65.2315241,-65.33254537,-65.18657312,
0.1510763209,-0.1645038414,-0.1674753507,-0.170930006,-0.1715717861,-0.1704316182,-0.1692187306,-0.1693953084,-0.166452977,-0.1642132017,-0.1601205071,-0.1563739566,-0.1548722349,-0.1548008449,-0.1541826482,-0.1532335238,-0.1530882003,-0.1527957729,-0.1523962092,-0.1519610557,-0.1520907859,-0.1519300433,-0.1516722283,-0.1515968901,-0.1519384592,-0.1513562282,-67.36005192,-67.39088386,-67.84849401,-67.94447662,-67.7032058,-67.59992527,-67.80642659,-67.79675208,-68.13563809,-68.09277043,-67.85802003,-67.61523824,-67.86643954,-68.01400816,-67.87265092,-67.89646926,-67.81732166,-67.80267761,-67.72230149,-67.62657285,-67.72894093,-67.57695903,-67.61844154,-67.72568989,-67.57385059,
