Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='1.5' $eps2='0.05'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='2.5' $eps2='0.15'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='3.5' $eps2='0.25'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='4.5' $eps2='0.35'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='5.5' $eps2='0.75'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='6.5' $eps2='1'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='7.5' $eps2='1.25'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='8.5' $eps2='1.6'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='9.5' $eps2='1.95'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='10.5' $eps2='2.3'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='11.5' $eps2='2.65'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='1.5' $eps2='0.05'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='2.5' $eps2='0.15'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='3.5' $eps2='0.25'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='4.5' $eps2='0.35'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='5.5' $eps2='0.75'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='6.5' $eps2='1'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='7.5' $eps2='1.25'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='8.5' $eps2='1.6'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='9.5' $eps2='1.95'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='10.5' $eps2='2.3'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='11.5' $eps2='2.65'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
0.1,-62.5496565474011,-60.7321320928111,-59.4753609315723,-58.7294515759268,-58.1545674456092,-57.6211030049682,-57.3117217390405,-56.9755309747944,-56.634545231042,-56.5031974257542,-56.2930191572556,-55.4876004566731,-56.2016387439896,-56.1698285631064,-55.7890895099949,-56.1103724760755,-56.1020890765365,-56.0612107946203,-56.107762003688,-56.0006036504948,-56.0523162705683,-56.0399213636317,-55.873094191881,-56.1118643710973,82.0579656960263,77.863976322429,75.5277406262559,74.1616084122357,73.3845123508345,72.7506908760719,72.4303026766716,71.8523372728351,70.5412990471452,70.010651897605,69.3963177057217,66.3677427901585,68.4132639851362,68.0431106625308,66.538346473089,67.5602168724912,67.6537300743764,67.3627466770636,67.2465164215235,67.4287203926191,67.693055671708,67.6384503256166,66.5418127496966,67.0957485010889
0.105675146771037,-61.7135273612031,-59.9048434029819,-58.6470193980591,-57.8959308845577,-57.3128970069042,-56.771756650753,-56.4541019502076,-56.1118206585112,-55.771318742075,-55.6360692284809,-55.4221919129708,-54.6277538435838,-55.3259809318209,-55.290453334455,-54.9122896673474,-55.2227908101119,-55.2110531253226,-55.1695475051438,-55.2154100330573,-55.1065439149976,-55.1571808253844,-55.1442283045822,-54.9831682583384,-55.2175159360636,79.6941871160295,75.4559942574763,73.0112167280524,71.5131642177338,70.6090213690086,69.8625104548137,69.423625719851,68.7229043523389,67.2292256615852,66.570220547996,65.8423661402967,62.6418808725078,64.6716302573549,64.2239055589957,62.6196086556798,63.6521554046837,63.7482731096699,63.4288660103859,63.2823460138924,63.4990066128976,63.7909925724152,63.7180126166132,62.5724887031749,63.1215344478176
0.111350293542074,-60.9116509276584,-59.1097910727171,-57.8504173246747,-57.0944666060583,-56.5037903935696,-55.9554120949878,-55.6301781567278,-55.2824707691306,-54.9433853386982,-54.8050498911477,-54.5882408585539,-53.8053122835056,-54.4882483844337,-54.4495765004041,-54.0743739191968,-54.3741989553043,-54.3589480685378,-54.3168510180453,-54.3621777733862,-54.2513539337086,-54.3008214691005,-54.2873899908324,-54.1322382735852,-54.3622246785758,77.2406722325742,72.9563802021867,70.4038405225486,68.7755948093358,67.7456614216832,66.8877257814474,66.3322007698807,65.5113780345183,63.8430718343885,63.0604522071212,62.2228779455267,58.8585165046145,60.8721001915872,60.3486693672688,58.6478297897455,59.6875089136527,59.7845867771004,59.4382461958101,59.2632248337219,59.5118972957042,59.829473765058,59.7391135010922,58.5478795299466,59.0925449942385
0.117025440313112,-60.1411822249422,-58.3443197010926,-57.0829031012895,-56.3223265558097,-55.724416499718,-55.1691462812959,-54.8369073067568,-54.4843161436895,-54.1473685293979,-54.0065907365751,-53.7874630951644,-53.0164225697607,-53.6844776067959,-53.6431337474854,-53.2712093641486,-53.5604878367734,-53.5416934441198,-53.4990101232125,-53.54390580983,-53.4309314938354,-53.4791830623254,-53.4653393713902,-53.3161815731603,-53.5418309544152,74.7088865666956,70.3760998057492,67.7163696242651,65.9596954634351,64.8053021383327,63.8372538336817,63.1670243853737,62.2287882147026,60.3934817570215,59.4918790083877,58.5484353901817,55.0282562312278,57.0251543975942,56.4281858446773,54.6340429591294,55.6775977298549,55.7741487981038,55.4023144400995,55.2004992125459,55.4788847261581,55.820108024644,55.7137701068709,54.4795255267453,55.0201823585282
0.122700587084149,-59.3995537277037,-57.6060278607479,-56.3420802586133,-55.5770435048169,-54.9722233680246,-54.4103268602838,-54.0715532564017,-53.7145146512349,-53.3802490018177,-53.2375277703816,-53.016527843605,-52.2576486068445,-52.9111441206268,-52.86750462138,-52.4991060791032,-52.7779852825012,-52.7556398043415,-52.7123412738651,-52.7568768600395,-52.6416077934561,-52.6886373746942,-52.6744032183613,-52.5313089822603,-52.7526149296836,72.1088806371177,67.7248561781845,64.9583189515209,63.0749717922041,61.7974737585052,60.7206156379174,59.9376272557623,58.884645191877,56.8895422414282,55.8733999683534,54.8280611483308,51.1597173322462,53.1394378524347,52.4713021044259,50.5872927878134,51.6317558206693,51.72645788804,51.3304822741853,51.1035271096961,51.409479337667,51.7725352688093,51.6510513130231,50.3769783737532,50.9138795543822
0.128375733855186,-58.6844365313678,-56.8927321254883,-55.6257705836537,-54.8563770302011,-54.2448964697946,-53.6765704924642,-53.3316432293191,-52.9705014776887,-52.639312255452,-52.4950229429099,-52.2724984176943,-51.5259004470127,-52.1650981632665,-52.119448468434,-51.7547528508493,-52.0233923288857,-51.9975067195873,-51.9535413364374,-51.997751506395,-51.880084057761,-51.9259213445484,-51.9113039988341,-51.7743020506434,-51.9912391233879,69.4494593793481,65.0112084776253,62.1380906426699,60.1297846608773,58.7305140525022,57.5461084390973,56.6522742651142,55.4871519317336,53.3390172277417,52.2125586640329,51.069092957909,47.2604975006509,49.222091401285,48.4852682797488,46.5149769309312,47.5576657124015,47.6493684853513,47.2305801865889,46.9800164535818,47.3115476821536,47.6947561283236,47.559155831361,46.2481429537184,46.7813855840012
0.134050880626223,-57.9937090291993,-56.2024379000152,-54.931984404577,-54.1582833328562,-53.5403274892566,-52.965709160132,-52.6149311645829,-52.2499510326955,-51.9221054016352,-51.7765182243792,-51.5527018871537,-50.8184035371384,-51.4435082094428,-51.3960509945176,-51.0351652989714,-51.29373173463,-51.264331194206,-51.2196214198629,-51.2635148356242,-51.1433800417284,-51.188085313483,-51.1730715674593,-51.0421607035793,-51.2546827195038,66.7383339049915,62.2427046061445,59.2630890841377,57.1314751360357,55.611714858945,54.3209596127766,53.3181257048923,52.0433846883658,49.7485418532275,48.5157440949706,47.2778269372461,43.3365729134681,45.2789607862867,44.4760123473926,42.4231210735425,43.4616305657568,43.5493561017225,43.1090057728433,42.8362990066551,43.1915819313234,43.5934012724864,43.4445397455038,42.0995435236805,42.6291257106739
0.13972602739726,-57.3254311255876,-55.5333159940029,-54.2588968386341,-53.4808893899164,-52.8565876520262,-52.2757620377049,-51.91936970922,-51.5507448224427,-51.2264015016368,-51.0796964293558,-50.8547261010678,-50.1326433272488,-50.7438229338015,-50.6946801867916,-50.3376418742049,-50.586304309202,-50.5534237743016,-50.5078714512272,-50.5514313077805,-50.4287894636752,-50.4724504462445,-50.4570103534724,-50.3321593213274,-50.540207825849,63.9822554573022,59.4259916857564,56.3398339313899,54.0864877504388,52.4474493661659,51.051462104321,49.9413940988206,48.559446123663,46.1237828650708,44.7883659063257,43.4594995392163,39.3929561546284,41.3149232908974,40.4483565614107,38.3166029916581,39.3487943460556,39.4317380570146,38.9710242180765,38.6775502959588,39.0549161794343,39.4739450037595,39.3126478879593,37.9365442343353,38.4623569545769
0.145401174168297,-56.6778228324929,-54.8836828974244,-53.6048283201004,-52.8224729068078,-52.1919059574245,-51.6049124560786,-51.2430827679799,-50.8709456345974,-50.5501697550778,-50.4024491170299,-50.1763814891061,-49.4663352469489,-50.0637207426959,-50.0129481337942,-49.6597265220748,-49.8986517778334,-49.8623329194298,-49.815819115145,-49.8590076769783,-49.7338437971565,-49.7765721576111,-49.7606626158494,-49.6418102528371,-49.8453199586362,61.1871336817308,56.5669176973605,53.3740592321135,51.000468078333,49.2432811051074,47.7430893652646,46.5274521245965,45.0405921543713,42.4695757463022,41.0349963294241,39.6184860474546,35.4338562631809,37.3339116049567,36.4061973725397,34.1993311711317,35.223318363719,35.3008489410726,34.8209037438781,34.5079646414289,34.9059027063272,35.3408817884262,35.1679004223835,33.76352300609,34.2853009112357
0.151076320939335,-56.0492453688532,-54.25198422828,-52.9682275106679,-52.1814447164935,-51.5446502493584,-50.9514881920027,-50.5843466860389,-50.2087744304116,-49.8915504493397,-49.7428492455298,-49.515667586088,-48.8173866106406,-49.4011491853308,-49.348679349202,-48.999176795982,-49.2285259116172,-49.1888132955369,-49.1412001586913,-49.183961078774,-49.0562811155976,-49.098209756684,-49.0817590298183,-48.9688321004611,-49.1677278057833,58.3581396007375,53.6706232027605,50.3707997748606,47.8783574497501,46.0040599848074,44.4005945402331,43.0809480161183,41.4913489851526,38.7900343244414,37.2594876184563,35.7582834006907,31.4624942957045,33.3388840975762,32.3526459826121,30.0743916033022,31.0885250573537,31.1601796507624,30.6620844187056,30.3309017186979,30.7480558336959,31.1978663431333,31.0139606130739,29.5840156470207,30.1014434241193
0.156751467710372,-55.4381858911345,-53.636780425143,-52.3476571709011,-51.5563334803828,-50.9133113016396,-50.3139444850428,-49.9415711954156,-49.5625916898582,-49.2488335536888,-49.0991280806396,-48.870752831735,-48.1838817705859,-48.7540150696897,-48.6998835458785,-48.3539373673326,-48.5738619158384,-48.5308002497913,-48.4819342781019,-48.5241917598713,-48.394019269838,-48.4353001227003,-48.4182663266562,-48.3111238654991,-48.5053239938736,55.4997933416098,50.7416187288337,47.3344700740286,44.7244717939285,42.7340061067569,41.0280993073154,39.605892460824,37.915596031714,35.0886449770107,33.4650675112459,31.8823091237449,27.481780992627,29.3331977411289,28.2901436270497,25.9441659534235,26.9470162044393,27.0124988855596,26.4972884181858,26.1489996974332,26.5841659354748,27.0478313378549,26.8535293512446,25.4008316909528,25.9135263392924
0.162426614481409,-54.8432436661508,-53.0367348123751,-51.7417820263567,-50.9457729824806,-50.2964894027731,-49.6908495882443,-49.3132838288401,-48.9308808587847,-48.6204406447697,-48.4696555631017,-48.2399512967151,-47.5640584923331,-48.1207156004509,-48.0647321819424,-47.7221164805719,-47.9327557639548,-47.8863868995048,-47.836096328309,-47.8777602364977,-47.745133522029,-47.7859354283091,-47.7682300596042,-47.6667414474821,-47.8561686664756,52.6160424943629,47.7838566298179,44.2689323731471,41.5425724477731,39.4367829567165,37.629164406788,36.1057323167001,34.3166509983578,31.3683453355588,29.6544190498571,27.992597545485,23.493757465486,25.3178567052466,24.2205566028161,21.8104277450134,22.8007690340388,22.859944569541,22.3285280313067,21.9642724133468,22.4163950525835,22.8930802226531,22.6890213056357,21.2161486675223,21.7235417477713
0.168101761252446,-54.2631183524531,-52.4506028520095,-51.1493580863392,-50.3484911748764,-49.6928820579577,-49.0808724519713,-48.6981172822767,-48.3122341034224,-48.0049092756638,-47.8529236682804,-47.6216954454854,-46.9562857315265,-47.4995516823581,-47.4415385789595,-47.1019662010672,-47.3034445321473,-47.2538048888988,-47.2019013720443,-47.2428671219524,-47.1078365978054,-47.1483437929042,-47.1298756313624,-47.0338788555796,-47.2184476656659,49.7103282724721,44.8007923543235,41.1775551741195,38.3359267661284,36.115557880532,34.2068559542287,32.5834211063571,30.6973337256349,27.6315878790439,25.8297462080238,24.0912937064747,19.5002109769973,21.294928020058,20.1452499896953,17.6744210329989,18.651211033693,18.7041017074719,18.1574087655759,17.7781846091375,18.2463535665238,18.7353645012199,18.5220351764683,17.0315923155224,17.5331380735544
0.173776908023483,-53.6965998039005,-51.8772229569358,-50.5692234674004,-49.7633001910988,-49.1012742302496,-48.4827716395637,-48.094797265944,-47.7053402438842,-47.4008793738488,-47.2475318854822,-47.0145582275373,-46.3590353762521,-46.8890113740297,-46.8287407314106,-46.4918650623671,-46.6842896618132,-46.6314075179449,-46.5776873427678,-46.6178359095592,-46.4804620533032,-46.5208726347783,-46.5015446620648,-46.4108500939302,-46.5904761201418,46.7856430704957,41.7954371304216,38.0632688655336,35.1073602651067,32.7730567189061,30.7637980449163,29.0414679911841,27.0600209726134,23.8803956230785,21.9928284567263,20.1798132733811,15.5021476451725,17.2654843799104,16.0651498321346,13.5369232550033,14.4992877635958,14.5460659646088,13.9849427712885,13.5917145846796,14.075162258098,14.575946615771,14.3538174687589,12.8482931362119,13.3433582987003
0.179452054794521,-53.1425588649237,-51.3155082652332,-50.000290159489,-49.1890879021832,-48.5205289914115,-47.8953859982157,-47.5021326653236,-47.1089738721318,-46.8070818865904,-46.6521746914256,-46.4171768446686,-45.7709057325493,-46.2876777367559,-46.2248861397634,-45.8903032448374,-46.0737620477486,-46.0176553331182,-45.9618984797551,-46.0010979706534,-45.8614492176568,-45.901973964526,-45.8816830423819,-45.7960752742614,-45.9706757828064,43.8445796849668,38.7704056505432,34.9286066023895,31.8593041121293,29.4116106098897,27.3022200671681,25.4819886027747,23.4066937105991,20.1164069839599,18.1450664200609,16.2594759012967,11.5005893899354,13.2301453300917,11.9807913094467,9.3982971540797,10.3455102044362,10.3864932315442,9.81172789285474,9.4054041520642,9.9035026219929,10.4156496959297,10.1851520989486,8.66694201611328,9.1548251279445
0.185127201565558,-52.5999396800829,-50.7644395846385,-49.4415368956309,-48.6248106019449,-47.9495795384809,-47.3176261302564,-46.9190066756764,-46.5219863192383,-46.2223284081626,-46.0656308642593,-45.8282957202543,-45.1905698311261,-45.6942418520555,-45.6286189855114,-45.2958693336871,-45.4704292359904,-45.4111032800414,-45.3530736901666,-45.3911793912667,-45.2493304213475,-45.290191857157,-45.2688244003183,-45.1880672310576,-45.3575591500567,40.8893749880653,35.7279560649645,31.7757479393309,28.5938330465883,26.0331953873591,23.8239948525431,21.9067432146572,19.7389783038687,16.340914352421,14.2875186993944,12.3310137500746,7.49595480355804,9.18937731983386,7.89235784105875,5.25852972287928,6.18999750135088,6.22564071946694,5.63796316146341,5.2193974853169,5.73165634742,6.25489864313678,6.01637574849916,4.4878287068873,4.96778132713804
0.190802348336595,-52.0677525252629,-50.2230590144686,-48.8920028834771,-48.0694861166776,-47.387422358794,-46.748467280384,-46.3443687342053,-45.9432971907671,-45.6455024915067,-45.4867539030634,-45.2467342814867,-44.6167849342361,-45.1074672177133,-45.0386688426141,-44.7072389236105,-44.872944420617,-44.8103895065879,-44.7498350622115,-44.786689403013,-44.6427195762252,-44.6841510568969,-44.6615876211358,-44.5854200604321,-44.7497216911174,37.9219470733223,32.6700257166291,28.6065515899646,25.3127007311943,22.6394655449021,20.3306753496683,18.3171717073786,16.0581780007454,12.5548959388023,10.4209332543649,8.39495049858482,3.48839466697311,5.14323676065785,3.79971228732546,1.11726568344411,2.03250781293212,2.06339849674398,1.46347961366569,1.03347200326138,1.55953660865293,2.09375135684957,1.84753721048233,0.310871827443993,0.782101491418785
0.196477495107632,-51.5450677080232,-49.6904642338062,-48.3507820607342,-47.5221880406713,-46.8331110479393,-46.1869426162834,-45.7772285095874,-45.3718872801295,-45.0755517206515,-44.9144639261206,-44.6713817131023,-44.0483813660824,-44.5261936029833,-44.4538407647287,-44.1231647919644,-44.2800363207594,-44.2142257421133,-44.1508773890758,-44.1863103817249,-44.040302195431,-44.0825472771213,-44.0586608602972,-43.9867990982747,-44.1458302665209,34.9439271262752,29.5982620758443,25.4225850501356,22.0173692388183,19.2317843644126,16.823521050699,14.714418822704,12.3653026624338,8.75904050296858,6.54577224392186,4.45149884129265,-0.522253777503646,1.09150289288421,-0.297579879536348,-3.02616950911164,-2.12753654208018,-2.10068658366942,-2.71223809681871,-3.15293896944003,-2.61328915072937,-2.06807732651772,-2.32179604803937,-3.8643565292465,-3.40269150075906
0.202152641878669,-51.0310099583417,-49.1658035676465,-47.8170180538464,-46.9820405028457,-46.2857504239007,-45.6321376349838,-45.2166483258754,-44.8067921627276,-44.5114809872633,-44.3477403776782,-44.1011863348885,-43.4842581846186,-43.949333579313,-43.8730067127093,-43.5424679901091,-43.6905007830376,-43.6213885633887,-43.5549598323367,-43.5887888496089,-43.4408265725918,-43.4841383424617,-43.4587908768939,-43.3909319735504,-43.5446134362,31.9566882345296,26.5140495650623,22.2251515996339,18.7090352402039,15.8112477886592,13.3035246862527,11.0993674431643,8.66109105233623,4.9537710457596,2.66223257782732,0.500659248966147,-4.53630677920618,-2.96651939032501,-4.40023285439279,-7.17275139127583,-6.29103101117784,-6.26739281192959,-6.89003376362099,-7.34073052469189,-6.78758324780092,-6.23119741891165,-6.4919461340327,-8.03861472125025,-7.58738356766811
0.207827788649706,-50.5247536500111,-48.6482712968444,-47.2898997793209,-46.4482134047646,-45.7444922178373,-45.0831848312423,-44.6617395185058,-44.2470965347921,-43.9523463885553,-43.7856156619273,-43.5351528751616,-42.9233331069149,-43.3758176679079,-43.2950981145402,-42.9640303263087,-43.1031931131352,-43.0307118606372,-42.9608985708253,-42.9929276111702,-42.8430959528496,-42.8877365199896,-42.8607876925067,-42.7966007256231,-42.944854451618,28.9613687678875,23.418532968697,19.0153125273312,15.3886509359814,12.3787093546554,9.77143108090669,7.47264359495581,4.94603117854144,1.13926095375616,-1.22973815140221,-3.45800900994707,-8.55471418058105,-7.03090310767909,-8.50922768181104,-11.323744303115,-10.4591774626436,-10.437812189694,-11.0710691975108,-11.5311158303735,-10.9644250341063,-10.3965331635032,-10.6646351935135,-12.2129805409967,-11.7730904594824
0.213502935420744,-50.0255182227712,-48.137103867914,-46.7686572595477,-45.9199182193242,-45.2085300600259,-44.5392592439855,-44.1116562947799,-43.691929146842,-43.3972500011324,-43.2271695261621,-42.9723340442247,-42.3646387520802,-42.804689253515,-42.7190992780992,-42.3867876322835,-42.5170215638195,-42.4410801756591,-42.3675590667317,-42.3975789108575,-42.2459616491781,-42.2922016995024,-42.2635050392697,-42.2026345470555,-42.3453832514743,25.9588937346157,20.3126374313277,15.7939062806667,12.056944518163,8.93479391346171,6.22775662714876,3.83464752064499,1.22037568364497,-2.68455145140546,-5.13042840004912,-7.42491522787625,-12.5782114450407,-11.1033081680945,-12.625805212788,-15.4806947955431,-14.6334767732138,-14.613344189264,-15.2568191698277,-15.7256226171195,-15.1452092232769,-14.5653163744045,-14.840451427346,-16.3888476194715,-15.9612320108678
0.219178082191781,-49.532564403485,-47.6315759403203,-46.2525581304625,-45.396404244525,-44.6770958572375,-43.9995742816092,-43.5655919148429,-43.140458380102,-42.8453349773475,-42.6715241612034,-42.4118274236881,-41.8072053402189,-42.2349969954449,-42.1440416276207,-41.809724052296,-41.9309415080364,-41.8514229647081,-41.773851113783,-41.8016383174356,-41.6483169837292,-41.6964352815348,-41.6658323818659,-41.6079039385274,-41.7450710783684,22.9499932588361,17.1970863910164,12.56156583805,8.71443526635104,5.47991640723601,2.67280259093724,0.185560305210295,-2.51584530336566,-6.51795223889629,-9.04035366310393,-11.4008792762055,-16.6080819230867,-15.1847441346215,-16.7514617706508,-19.6454288105885,-18.8157268631127,-18.7956941701714,-19.4490711510759,-19.9260941820704,-19.3316442939214,-18.7390858326423,-19.0212176106683,-20.5679253346563,-20.1535541045388
0.224853228962818,-49.0451905300072,-47.1309973604462,-45.7409041308499,-44.8769551483242,-44.1494560874062,-43.4633780461804,-43.0227747868505,-42.5918881208036,-42.2957814647102,-42.1178398059509,-41.8527687462099,-41.2501213576267,-41.6658360017369,-41.5689990527799,-41.2318671015716,-41.3439505731497,-41.2607094818258,-41.1787231093686,-41.2040395376258,-41.0490920360878,-41.0993749390034,-41.0667010625979,-41.0113150064855,-41.1428240009324,19.9352187211393,14.0724165944897,9.31873253453607,5.36144809267356,2.01429465221704,-0.893332138561594,-3.47464196469963,-6.26281405432866,-10.3614438317155,-12.9602502227194,-15.3869074590579,-20.645761886249,-19.2766835256133,-20.8879490670718,-23.8200539512248,-23.0080254329385,-22.9868767234119,-23.6499309683544,-24.1346953886069,-23.5257592107567,-22.9196913925924,-23.2088310415429,-24.7522447771736,-24.3521155274534
0.230528375733855,-48.5627294320685,-46.6347099402054,-45.2330283145073,-44.360885859078,-43.6249086773617,-42.9299498831341,-42.4824650683053,-42.0454542368833,-41.747802861124,-41.5653108536815,-41.294329669677,-40.6925025611327,-41.0963459344835,-40.9930835112873,-40.6522834823207,-40.7550844812862,-40.6679445878449,-40.5811579529911,-40.6037499633249,-40.4472490637772,-40.4999899487554,-40.465072877012,-40.4118048464226,-40.5375782345593,16.9149553574694,10.938991195234,6.0656689851013,1.99812430704634,-1.46204150723038,-4.47074166160948,-7.14618336752295,-10.0209178555216,-14.2157395286364,-16.8910711657076,-19.3842376917581,-24.6930029512582,-23.3808511384332,-25.0372782868593,-28.006964851066,-27.2127762829326,-27.189224082733,-27.8618324857789,-28.3539238414944,-27.7299131570688,-27.1093023469029,-27.405543679533,-28.9441694335746,-28.559306669769
