Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='21' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='21' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
0.1,-0.217463808143649,-0.264373741382477,-0.300007029322966,-0.32974956241265,-0.392671142211624,-0.471574425576343,-0.439294395299228,-0.436395199740958,-0.406438880856733,-0.413602157036735,-0.397028897161348,-0.396778059120459,-0.402471621575967,-48.0540615689414,-49.5486196074452,-50.4032227037863,-51.3407120974144,-52.6004262450857,-55.2800224361747,-55.0547806134919,-55.2081537136028,-54.9770654155348,-55.4534674971404,-55.7118825230462,-55.2384943042024,-55.4436275313363
0.11,-0.240583161212051,-0.291087720537117,-0.329432265381428,-0.361427957936707,-0.429873254045014,-0.517325710032504,-0.483173241125823,-0.479874206842805,-0.44467190533272,-0.451983614727844,-0.433208872732073,-0.43278667206479,-0.438844260274415,-52.7488051806031,-54.3658018534385,-55.2960783589659,-56.3150018510231,-57.6771615948246,-60.5920727720104,-60.3679043482272,-60.5724235239737,-60.3325743180799,-60.8603118620977,-61.1330401979062,-60.619052821079,-60.8445855700975
0.12,-0.264360742197109,-0.318331940946026,-0.359313897654927,-0.393525816878085,-0.467543249584264,-0.563891187798438,-0.528028819842381,-0.524700317376501,-0.483857583820762,-0.491346867698619,-0.470206473507474,-0.469519433385326,-0.475947910647041,-57.4338892646084,-59.1713928817511,-60.1789102914832,-61.2794849844407,-62.7446960603898,-65.8939408850522,-65.6729931655836,-65.9376113713409,-65.6927554609129,-66.2737466260825,-66.5561800325548,-66.0041911522671,-66.2508305419965
0.13,-0.288996683200973,-0.346334816950901,-0.389911152808982,-0.42633096090419,-0.506025495695207,-0.611674025359015,-0.574231686042709,-0.571282982462215,-0.524438323241036,-0.532139910085299,-0.508428807211996,-0.507410512676557,-0.514225044043311,-62.1092158013915,-63.9654452237478,-65.0520826209925,-66.2347120442147,-67.8038869013651,-71.1867889322291,-70.9713636117006,-71.3052644825841,-71.0594036951497,-71.6957360624796,-71.9829771301792,-71.3957712869964,-71.6642949553752
0.14,-0.314654636911795,-0.375280765252942,-0.421433425252754,-0.460076409241744,-0.545600872890597,-0.661002831853639,-0.622087290627534,-0.619954825889651,-0.566775698869368,-0.57472719229887,-0.548202406981267,-0.546811819394727,-0.554033883457975,-66.7745407178957,-68.7478602642443,-69.9157905119936,-71.1810680174529,-72.8554337384689,-76.4717317131808,-76.26432213153,-76.6769648259024,-76.4342940322447,-77.1282712313881,-77.4151951728168,-76.795660068971,-77.0869209459186
0.15,-0.341469233344071,-0.405319458123534,-0.454051035562595,-0.494952705094855,-0.586502660002031,-0.712154080559505,-0.671855724172268,-0.67099461060301,-0.611171529140891,-0.619411513105729,-0.589795014020615,-0.588013756494919,-0.595669355578843,-71.4295682214422,-73.5185025527559,-74.7701908150554,-76.118915533158,-77.9000397208004,-81.7500157568436,-81.5533307414366,-82.0545055255594,-81.8193715803523,-82.5735593336806,-82.8548622541656,-82.2059175913652,-82.5208520439326
0.16,-0.369552657732569,-0.436573950132809,-0.487904615247366,-0.531118502838247,-0.628929673453472,-0.765369637464386,-0.723766981777962,-0.724644529342108,-0.657883572160227,-0.66644975646071,-0.633431187955525,-0.631260240330744,-0.639378083097003,-76.074009020493,-78.2772713012634,-79.6154846629122,-81.0486861631151,-82.9385149611758,-87.0231355133914,-86.8401187148338,-87.4400132244161,-87.2168849718109,-88.0341593764155,-88.3043949051636,-87.6289290001618,-87.9685684081437
0.17,-0.399000013877963,-0.469147321136065,-0.523112772885256,-0.56870913488691,-0.673056710170594,-0.820870358908194,-0.778032667979773,-0.781123098585163,-0.70713670817055,-0.716063592330578,-0.679302900504661,-0.676758799115396,-0.685368243563724,-80.7076169375574,-83.0241460883347,-84.4519714732098,-85.9709409071565,-87.971846402412,-92.2929167376462,-92.1267677811454,-92.836047792627,-92.6294954299665,-93.513096961814,-93.7667015561707,-93.0675126073963,-93.4329993020352
0.18,-0.429893554500321,-0.503127969277492,-0.559778212867094,-0.60784340365426,-0.719042787256072,-0.878866893771854,-0.834855235928999,-0.840635106721559,-0.759130778958166,-0.768446452919257,-0.727576394197964,-0.724686834021128,-0.733815448073045,-85.3302120703614,-87.7592168566551,-89.2800858155087,-90.8864128082181,-93.0012497010044,-97.5615852122305,-97.4157877941902,-98.2456983523368,-98.0603825401888,-99.0139802063719,-99.2452854896817,-98.5250254958503,-98.9176344629967
0.19,-0.462305979841434,-0.538593806575356,-0.597992623041942,-0.648628986539568,-0.767037768426714,-0.939568763410942,-0.894435824997718,-0.903380007114705,-0.814046295808724,-0.823768082997817,-0.778396485275707,-0.775195127234116,-0.784865755299628,-89.9416959449901,-92.482704615723,-94.1004244183436,-95.7960398976395,-98.0282121177368,-102.831831620953,-102.710193482586,-103.67268844424,-103.513361222516,-104.541132223346,-104.744361810185,-104.005481830478,-104.426650555819
