Freq [GHz],"dB(S(2,1)) [] - $eps1='1' $eps2='0'","dB(S(2,1)) [] - $eps1='2' $eps2='0.1'","dB(S(2,1)) [] - $eps1='3' $eps2='0.2'","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","arg(S(2,1)) [deg] - $eps1='1' $eps2='0'","arg(S(2,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(2,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(2,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(2,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(2,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(2,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(2,1)) [deg] - $eps1='8' $eps2='1.4'","arg(S(2,1)) [deg] - $eps1='9' $eps2='1.8'","arg(S(2,1)) [deg] - $eps1='10' $eps2='2.1'","arg(S(2,1)) [deg] - $eps1='11' $eps2='2.5'","arg(S(2,1)) [deg] - $eps1='12' $eps2='2.8'","arg(S(2,1)) [deg] - $eps1='13' $eps2='3.1'"
0.1,-0.217463808121143,-0.264373741391527,-0.300007029326578,-0.329749562320088,-0.392671142130092,-0.471574425635442,-0.439294395321536,-0.436395199819355,-0.406438881016167,-0.413602156968227,-0.397028897170195,-0.396778059100315,-0.402471621318899,-48.0540615664282,-49.5486196099659,-50.403222703488,-51.3407120981334,-52.6004262470821,-55.2800224353067,-55.0547806161101,-55.2081537128179,-54.9770654206159,-55.4534674973243,-55.7118825262031,-55.2384942993723,-55.443627533653
0.105675146771037,-0.230493327175731,-0.279457306529274,-0.316637645113021,-0.34766302875511,-0.413711585729146,-0.49741951252061,-0.464056465892834,-0.460888090393559,-0.428010372173176,-0.435254621220166,-0.417451876136886,-0.417117045566451,-0.423016554761096,-50.7148226002078,-52.2789890030985,-53.1762880712506,-54.159894458633,-55.4775880237335,-58.2906252765445,-58.0657350481521,-58.2469953168249,-58.0104998790599,-58.5157562171356,-58.7828259941198,-58.2861337267567,-58.5027405146671
0.111350293542074,-0.243702855878788,-0.294675153900155,-0.333373992426015,-0.365665889272053,-0.4348481424636,-0.523462288664424,-0.489073856164762,-0.485748557754935,-0.449818075997312,-0.457151565508556,-0.43807257724989,-0.437619945219843,-0.443726264796333,-53.3724781978694,-55.0056101981722,-55.946062267821,-56.9758287366014,-58.3516526477591,-61.2977811167817,-61.0739143782393,-61.285905884126,-61.0451683099946,-61.5798747779941,-61.8541666039319,-61.3349702506345,-61.5632678827688
0.117025440313112,-0.257133709296854,-0.310074787531135,-0.350270001532144,-0.38381801148432,-0.456152355799901,-0.549787017522677,-0.514423541421162,-0.511062390126314,-0.47195404288393,-0.479386506451596,-0.458976736801216,-0.458377473955259,-0.464693243745449,-56.0270386657419,-57.7285236786987,-58.7126463816905,-59.788650882259,-61.2228130471725,-64.3017275179447,-64.0795780050015,-64.325182525632,-64.081420624618,-64.6461983007007,-64.9262182109312,-64.3853628910011,-64.6255812654764
0.122700587084149,-0.270822776602503,-0.325698338699468,-0.367373481399817,-0.402172464828189,-0.477687666243311,-0.576467913610477,-0.54017368845406,-0.536904961735495,-0.494499724229071,-0.502041933726045,-0.480239363589642,-0.479469606863173,-0.485999002176654,-58.6784870487434,-60.4477397235487,-61.4761073372399,-62.5984615651508,-64.0912252826214,-67.3026740125302,-67.0829631791707,-67.3651035897252,-67.119580914109,-67.7150809497483,-67.9992816422232,-67.4376476050936,-67.6900293000524
0.128375733855186,-0.284802947742771,-0.341583106852115,-0.384726759552428,-0.420776271547232,-0.499510454314195,-0.603570772736759,-0.566385103795989,-0.563342972455406,-0.517527542537273,-0.525190998982633,-0.501926437915349,-0.500967148459941,-0.507715668898169,-61.3267882541786,-63.1632491967167,-64.2364903801196,-65.4053395763597,-66.9570237410769,-70.3008191792648,-70.0843005622166,-70.4059451852719,-70.1599648984674,-70.786873437137,-71.0736610313298,-70.4921545571326,-70.756955252259
0.134050880626223,-0.299103566877795,-0.357762124751175,-0.402367341572373,-0.439671171765095,-0.521671051066561,-0.631154442143082,-0.593112535495497,-0.590435974203675,-0.541102295810252,-0.548898992754918,-0.524096385850569,-0.522933131455701,-0.529907401169438,-63.9718957726222,-65.875031794663,-66.9938282821977,-68.2093521042583,-69.8203326818799,-73.2963636457141,-73.0838260559301,-73.4479936043884,-73.2028933751592,-73.8619362104695,-74.1496761680906,-73.5492214394183,-73.8267105371046
0.13972602739726,-0.313750876779335,-0.374264706092608,-0.420328548689193,-0.458894350550757,-0.544214659787325,-0.659272108148671,-0.620405808224848,-0.618237690459253,-0.565282370186177,-0.573224599759285,-0.546801323307363,-0.545424007221734,-0.552631601008697,-66.6137567856641,-68.5830622738511,-69.7481485653758,-71.0105626385982,-72.6812752182758,-76.2895198402111,-76.0817898833207,-76.4915550095964,-76.2487025410154,-76.9406498971424,-77.2276722036488,-76.6092038394383,-76.89966517627
0.145401174168297,-0.328768427836648,-0.391116957982469,-0.438640103345775,-0.478479102275674,-0.56718219349687,-0.687972417596584,-0.64831080239283,-0.646797131242299,-0.590120764909014,-0.598220940615079,-0.570088092252293,-0.56849064286119,-0.575939895604971,-69.25231631062,-71.2873153786199,-72.4994791464895,-73.8090370953389,-75.5399801202649,-79.2805196376173,-79.078463821953,-79.5369632441532,-79.2977525808617,-80.0234238386137,-80.3080274580739,-79.6724835800239,-79.9762164883868
0.151076320939335,-0.344177453344981,-0.408342234472611,-0.457328661251004,-0.498455428117345,-0.590611004871962,-0.717300445458552,-0.67687029479945,-0.676159541007549,-0.615665948081607,-0.623936420368877,-0.593999099658948,-0.592179130122778,-0.599878959199304,-71.887520100677,-73.9877695135767,-75.2478526067797,-76.6048485798845,-78.3965872421793,-82.2696204593171,-82.0741470844112,-82.5845863456307,-82.3504347682086,-83.1107033813697,-83.3911600413188,-82.7394758228176,-83.0567962453956
