"Freq [GHz]","dB(S(2,1)) [] - $eps1='4' $eps2='0.3'","dB(S(2,1)) [] - $eps1='5' $eps2='0.6'","dB(S(2,1)) [] - $eps1='6' $eps2='0.9'","dB(S(2,1)) [] - $eps1='7' $eps2='1.1'","dB(S(2,1)) [] - $eps1='8' $eps2='1.4'","dB(S(2,1)) [] - $eps1='9' $eps2='1.8'","dB(S(2,1)) [] - $eps1='10' $eps2='2.1'","dB(S(2,1)) [] - $eps1='11' $eps2='2.5'","dB(S(2,1)) [] - $eps1='12' $eps2='2.8'","dB(S(2,1)) [] - $eps1='13' $eps2='3.1'","dB(S(2,1)) [] - $eps1='14' $eps2='3.6'","ang_deg_val(S(2,1)) [] - $eps1='4' $eps2='0.3'","ang_deg_val(S(2,1)) [] - $eps1='5' $eps2='0.6'","ang_deg_val(S(2,1)) [] - $eps1='6' $eps2='0.9'","ang_deg_val(S(2,1)) [] - $eps1='7' $eps2='1.1'","ang_deg_val(S(2,1)) [] - $eps1='8' $eps2='1.4'","ang_deg_val(S(2,1)) [] - $eps1='9' $eps2='1.8'","ang_deg_val(S(2,1)) [] - $eps1='10' $eps2='2.1'","ang_deg_val(S(2,1)) [] - $eps1='11' $eps2='2.5'","ang_deg_val(S(2,1)) [] - $eps1='12' $eps2='2.8'","ang_deg_val(S(2,1)) [] - $eps1='13' $eps2='3.1'","ang_deg_val(S(2,1)) [] - $eps1='14' $eps2='3.6'"
0.1,-62.8852098743413,-63.8432237826427,-64.3003960447949,-65.0254343216177,-65.3568104873639,-65.3776473130747,-65.5694012115959,-65.3494939177782,-65.5348840163015,-65.6663915884125,-64.9949808115888,-144.976823881155,-147.733469799759,-150.226744446826,-151.825897767186,-153.775169867639,-154.597239362251,-155.208693884346,-155.057636448942,-155.106124834733,-155.224007137413,-152.961140388422
0.105675146771037,-62.2899780416832,-63.2706583334016,-63.7404312352204,-64.4843406857854,-64.8305374332916,-64.8511373526278,-65.0479036947392,-64.821743056582,-65.0085445187143,-65.1427238208354,-64.4444679100478,-148.743035513604,-151.702058418686,-154.482628958996,-156.203844675344,-158.306075566333,-159.187589954494,-159.864492284064,-159.676210528421,-159.761893683301,-159.899533276796,-157.424381282996
0.111350293542074,-61.7219712306142,-62.7272152745216,-63.2125737710461,-63.9769488040089,-64.3396245218994,-64.3600041028677,-64.5625101864821,-64.3290809959018,-64.5179812775554,-64.6551814415548,-63.9271537469263,-152.558161570518,-155.721749117883,-158.792985921887,-160.637874758026,-162.897402768266,-163.845575833151,-164.589373199996,-164.365323273348,-164.487814435673,-164.645857089566,-161.956701089411
0.117025440313112,-61.1787348495131,-62.2103795748574,-62.7141079883491,-63.500497466657,-63.8812889993833,-63.9015505558228,-64.1104857505914,-63.868831373099,-64.0604585149164,-64.2010101481268,-63.4404312121306,-156.419426831166,-159.789948870574,-163.154654228533,-165.125054148982,-167.546171222879,-168.56844197644,-169.380691678561,-169.122492361697,-169.281202742478,-169.460403731376,-166.555134867686
0.122700587084149,-60.6581010958817,-61.7179246987273,-62.2426093300985,-63.0525127951544,-63.4530147691968,-63.4733208659459,-63.6893321566708,-63.4385489156099,-63.6334733193856,-63.7776869791762,-62.9819340552356,-160.32442844839,-163.904598110561,-167.565422733074,-169.663626618629,-172.250855841866,-173.354842623333,-174.23735931555,-173.946601521081,-174.140866245465,-174.342180891876,-171.217747833271
0.128375733855186,-60.1581353322465,-61.2478599177419,-61.7958964021523,-62.6307637980952,-63.0525138632605,-63.0730567915561,-63.2967453913757,-63.0359722314735,-63.2347102009368,-63.3828758979301,-62.5494871999128,-164.271154832259,-168.064187288498,-172.024014465936,-174.253022783918,-177.011457551149,-178.204966072413,-179.159996859755,-178.838041001798,-179.067246760345,-179.291939943751,-175.943705194207
0.134050880626223,-59.6770950243418,-60.7983898066544,-61.3719936674569,-62.2332289750928,-62.6777006019088,-62.6986673204789,-62.9305872459743,-62.6589893807624,-62.8620087850263,-63.0143972682468,-62.1410678794867,-168.257995705343,-172.267767832127,-176.530074876273,-178.893877369618,178.170414364448,176.879317274787,175.848881282008,176.201124494604,175.937404232502,175.687624667723,179.266647490788
0.13972602739726,-59.2133977960713,-60.3678825933188,-60.9691020920636,-61.8580716902637,-62.3266767898136,-62.3482103069357,-62.588870429748,-62.3056150091027,-62.5133439364796,-62.6702109085668,-61.7547752260442,-172.283746026754,-176.514960573524,178.91583282825,176.411942699533,173.2914471232,171.894279358103,170.784647026265,171.166953755666,170.868810909816,170.591632733371,174.411685697585
0.145401174168297,-58.7655961652541,-59.95484505555,-60.5855759669068,-61.5036228991218,-61.9977271579682,-62.0198861150482,-62.2697578989455,-61.9739791866403,-62.186818965957,-62.3484138044248,-61.3888071778251,-176.347606044437,179.194035851037,174.312223413394,171.661299107456,168.346520206313,166.834133131616,165.640307191197,166.053391800963,165.720420178476,165.412735246962,169.488383815057
0.151076320939335,-58.3323572292455,-59.5579023577018,-60.2199047305261,-61.1683703329064,-61.6893245822606,-61.7120438955545,-61.9715776651505,-61.6623289409034,-61.8806733587799,-62.0472542722319,-61.0414444652672,179.550820681897,174.858434728139,169.656675937095,166.849734002416,163.328600982942,161.690814656439,160.406234608901,160.852003872513,160.483120394998,160.140804591196,164.492167238624
