eps',eps'',Type,Diametre,r_m freq pic 1,r_m freq pic 2,r_m freq pic 3,r_m freq pic 4,r_m freq pic 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,t_p periodicite,t_m valeur a 0.4 GHz
4,0.3,BOIS,2,0.1,0.8207436399,1.989823875,2.642465753,3,471.3090136714,2180.377459364,1316.529626091,718.6686729329999,-24.43493998,-29.9117393,-17.71621865,-20.85328137,0.5142857143,1.331506849,2.307632094,2.994324853,-3.9618861899999978,-1.7671354899999976,-0.32793597999999946,-0.5266707299999993,3.535687039999999,1.510165660000002,0.3527255500000006,-0.006345856000000261,-55.0637786,7.0,-36.01101647
4.5,0.45,BOIS,2,0.1,0.8150684932,1.984148728,2.636790607,3,479.94383665310005,2155.292940627,1312.6981792150002,746.1664536950001,-26.04467426,-29.08622122,-17.33613759,-20.99244177,0.5029354207,1.325831703,2.301956947,2.994324853,-4.270911460000001,-1.6081707200000004,-0.30765341000000035,-0.5011631700000017,3.8978320200000027,1.3899004800000014,0.33022461000000014,-0.007656769999999646,-53.50444643,7.0,-36.4063299
5,0.6,BOIS,2,0.1,0.8093933464,1.967123288,2.63111546,3,479.3148842477,2018.611353867,1334.3585851690002,697.6903779730001,-26.56716289,-25.00015834,-18.19063536,-20.08367914,0.497260274,1.308806262,2.284931507,2.994324853,-4.3370314400000005,-1.0999182299999966,-0.35573089000000024,-0.6126448900000021,4.339017479999999,0.9127882099999987,0.3843181599999994,-0.005798503000000288,-53.09626886,7.0,-36.8291176
5.5,0.75,BOIS,2,0.1,0.8037181996,1.972798434,2.636790607,3,477.2275003497,2074.54267489,1294.8224174610002,674.6149023410001,-25.48168825,-27.64876744,-17.14747185,-18.89146958,0.497260274,1.308806262,2.290606654,2.994324853,-4.82579016,-1.46386373,-0.30917751999999865,-0.46554231,4.569338720000001,1.249148850000001,0.3389263299999996,-0.005841902000000232,-52.34883662,7.0,-37.10935648
6,0.9,BOIS,2,0.1,0.7753424658,1.950097847,2.574363992,3,440.96802731339994,2066.185154852,1180.4652085400003,1162.689023561,-23.31836394,-24.0308032,-15.82352787,-39.22325585,0.4745596869,1.280430528,2.273581213,2.977299413,-3.832158249999999,-0.9880108300000003,-0.28769871999999985,-2.6286973800000055,3.6059309299999995,0.730247030000001,0.26949522999999864,2.473826469999999,-70.69937705,7.0,-34.98150473
6.5,1,BOIS,2,0.1,0.7980430528,1.978473581,2.636790607,3,468.81157801590007,2071.319740866,1249.7885766650002,669.8133059639998,-24.09080145,-28.31687146,-16.22381283,-19.08951941,0.4915851272,1.303131115,2.290606654,2.994324853,-3.919623250000001,-1.6203260200000003,-0.26880438999999967,-0.5282807900000002,3.5855592200000004,1.4249398499999977,0.30205795999999907,-0.00669149400000002,-50.1923382,7.0,-38.26720829
7,1.1,BOIS,2,0.1,0.7923679061,1.972798434,2.636790607,3,463.3379256854,2037.9971293489998,1258.7464635130002,654.4995598150001,-24.15925637,-27.99889949,-16.30394444,-18.48519559,0.4859099804,1.291780822,2.284931507,2.994324853,-3.6636533699999987,-1.6125136300000023,-0.27304852999999873,-0.5095327699999999,3.428763319999998,1.4175021900000004,0.30618005000000004,-0.007489839999999859,-49.42300345,7.0,-38.50992872
7.5,1.25,BOIS,2,0.1,0.7923679061,1.967123288,2.636790607,3,460.00442448539997,2000.403296987,1252.9324594739999,642.8464903440001,-23.39705181,-27.51070722,-16.39998898,-18.28664571,0.4859099804,1.291780822,2.284931507,2.994324853,-3.6266394800000015,-1.515334450000001,-0.28797841999999996,-0.5105984100000001,3.345313000000001,1.3207744499999983,0.31857409000000025,-0.0066611139999999125,-49.91061016,7.0,-38.98209521
8,1.4,BOIS,2,0.1,0.7866927593,1.972798434,2.636790607,3,450.416847177,2011.37797776,1219.1264967429997,638.6890065690001,-22.80454557,-28.44551881,-15.80380501,-18.2797935,0.4802348337,1.291780822,2.290606654,2.994324853,-3.2555692500000006,-1.6652383800000017,-0.2666775700000006,-0.5261623700000015,3.0917897200000013,1.4985488499999988,0.2955732099999988,-0.005272274999999382,-48.23075615,7.0,-39.65288432
8.5,1.6,BOIS,2,0.1,0.7866927593,1.972798434,2.636790607,3,443.40089785318,2013.372633415,1215.6911129680002,634.5965025969998,-21.84770412,-29.00081553,-16.07161665,-17.87649597,0.4802348337,1.280430528,2.290606654,2.994324853,-2.9575276499999994,-1.8225133199999988,-0.28716612999999924,-0.4912241399999999,2.7513811699999984,1.6347628200000024,0.3134529300000004,-0.006014699999999706,-50.1681057,7.0,-39.65099083
