eps',eps'',Type,Diametre,bande freq 1,bande freq 2,bande freq 3,bande freq 4,bande freq 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,r_p freq montee bande_freq 1,r_p freq montee bande_freq 2,r_p freq montee bande_freq 3,t_m valeur a 1.5 GHz,t_m valeur a 3 GHz,t_p freq premiere montee,t_p periodicite,t_m valeur a 0.4 GHz
4,0.3,BOIS,205,0.1,0.758317025440313,1.93874755381605,2.60841487279843,3,466.0838416109774,1646.544974995909,1440.7664040763611,1149.4140695518954,-31.205125221511,-16.3884363457261,-25.1123861033146,-23.057882589699,0.5426614481409,1.56986301369863,2.39275929549902,2.81272015655577,-7.280950329777802,-0.3852622324492998,-0.9036787729302986,-0.49757919341669776,7.7115750423254,0.48501705936599926,0.5837296689392986,0.5552585082718018,0.429158512720157,0.741291585127202,1.98982387475538,-12.0456167672478,-19.0278896410104,0.412133072407045,8.0,-25.9252888
4.5,0.35,BOIS,205,0.1,0.741291585127202,1.90469667318982,2.6027397260274,3,452.8283682827755,1592.2175682583968,1405.694762295185,1137.8406014718234,-31.7477887765425,-17.1810282272267,-23.8796578382789,-22.7856348188357,0.536986301369863,1.54148727984344,2.39275929549902,2.80704500978474,-5.8906999746841,-0.34853570137379997,-0.7316054809163006,-0.5319579795535994,6.735344723587499,0.5671793259823001,0.6394568925887008,0.505089391587699,0.423483365949119,0.735616438356164,1.98982387475538,-13.1352160028243,-20.4470260478573,0.406457925636008,8.0,-25.23228352
5,0.6,BOIS,205,0.1,0.900195694716243,1.88767123287671,2.58003913894325,3,523.2283868474577,1534.7300739651137,1315.5730941869988,1244.9632839242086,-30.6066822052943,-17.5579578942241,-21.1020828057852,-26.3144788857116,0.531311154598826,1.51311154598826,2.38140900195695,2.79569471624266,-6.597827456726101,-0.2795616890756989,-0.5849193780899995,-0.7658867856674973,5.135056238777697,0.4913740830264004,0.4523020929342003,0.7997830747808017,0.423483365949119,0.729941291585127,1.99549902152642,-15.0840982011677,-23.612023017896,0.400782778864971,8.5,-24.77228527
5.5,0.75,BOIS,205,0.1,0.877495107632094,2.0238747553816,2.56868884540117,3,511.9623676213529,1676.3707972669063,1131.3119345169753,1326.332449988949,-30.5727754558609,-17.3880577786192,-20.1629239967455,-31.2040527628757,0.531311154598826,1.49041095890411,2.38708414872798,2.8013698630137,-8.034240662012,-0.30231723352840056,-0.5338649453079007,-1.3663679022423025,7.6157822286685,0.39199141656279934,0.4243206512736002,1.470140444251701,0.423483365949119,0.729941291585127,1.99549902152642,-16.3307821806662,-24.9984082134947,0.389432485322896,8.5,-24.19283035
6,0.9,BOIS,205,0.1,0.860469667318982,2.00684931506849,2.55166340508806,3,499.30664341618296,1777.7092113693996,1084.4964189826953,1317.1578012009882,-38.3119072663234,-19.1251262881474,-18.5052021947767,-24.6193350522253,0.525636007827789,1.46771037181996,2.39843444227006,2.77866927592955,-13.211070530016002,-0.37538247752259934,-0.4181885204961997,-0.5491703484485981,11.734300753153903,0.343334523611297,0.28082352402359945,0.6702498860837025,0.423483365949119,0.729941291585127,1.98982387475538,-17.3727435486175,-26.4544886997553,0.383757338551859,9.0,-23.76590216
6.5,1,BOIS,205,0.1,0.843444227005871,1.98982387475538,2.56301369863014,3,481.7077621222011,1671.625736961132,1124.2223882475043,1249.4613291617602,-34.6676880729072,-16.7458059383674,-19.8405300050975,-23.8343467168693,0.525636007827789,1.45636007827789,2.38140900195695,2.80704500978474,-7.068337133557797,-0.29897482408589937,-0.5528557155226999,-0.576526944911901,11.134690973067595,0.23917505244168957,0.4365936090064011,0.6358366347796007,0.417808219178082,0.729941291585127,1.99549902152642,-17.9151505383317,-26.4948947028497,0.383757338551859,9.0,-23.4183683
7,1.1,BOIS,205,0.1,0.832093933463796,1.98982387475538,2.56868884540117,3,461.52201752775454,1715.455507745965,1121.611496054102,1224.6553704607368,-30.5597882119604,-16.7780740492037,-19.2127339586523,-23.1421659385497,0.519960861056751,1.473385518591,2.38708414872798,2.8013698630137,-8.162581250690398,-0.2867928127031991,-0.5276647255153009,-0.5246316333799008,6.3889286398962,0.26541757761489926,0.3644360883255011,0.5800455362745005,0.417808219178082,0.729941291585127,1.99549902152642,-18.1001852279951,-27.2659578825754,0.378082191780822,9.0,-23.07829552
7.5,1.25,BOIS,205,0.1,0.809393346379648,1.97847358121331,2.56868884540117,3,442.9603652578572,1751.232445380683,1146.421761001755,1201.554357610453,-27.9307556020241,-17.5186185671339,-19.3008535531522,-21.7808905968183,0.519960861056751,1.48473581213307,2.38708414872798,2.78434442270059,-6.2003765367784,-0.2729913821263992,-0.5317414563314014,-0.4147983819808019,6.731299244738498,0.28924112168249927,0.33375720060449865,0.4751795081993002,0.417808219178082,0.729941291585127,1.98414872798434,-18.3156620348894,-28.400643889512,0.372407045009785,9.0,-22.65336202
8,1.4,BOIS,205,0.1,0.80371819960861,1.96712328767123,2.58003913894325,3,425.804521204636,1742.4164127433849,1170.4973542978128,1179.064812477908,-24.6795055365824,-18.1568643834384,-18.8751738968397,-21.4418668725479,0.514285714285714,1.47906066536204,2.38708414872798,2.79569471624266,-4.2350120237966,-0.2699023288550002,-0.49919838037309994,-0.38846719333159996,4.3929306766811,0.3032374549375003,0.2975303851228972,0.43482629254949856,0.417808219178082,0.72426614481409,1.98414872798434,-18.5532933994355,-29.3394817480728,0.366731898238748,9.0,-22.18216466
8.5,1.6,BOIS,205,0.1,0.786692759295499,1.95577299412916,2.58003913894325,3,404.23239055430355,1725.7737573092395,1173.967098933621,1220.076448593263,-22.4107873188998,-17.9347682792613,-19.2707500254968,-23.5885536370542,0.514285714285714,1.47906066536204,2.37573385518591,2.81272015655577,-3.5938261014065986,-0.2434532634324995,-0.5466255563737992,-0.539579614396402,3.3190008886249007,0.33203146573849907,0.3634705596649006,0.5649469364790995,0.412133072407045,0.72426614481409,1.98414872798434,-18.7469217755994,-30.1539254405324,0.366731898238748,9.0,-21.82374149
9,1.8,BOIS,205,0.1,0.769667318982387,1.95009784735812,2.57436399217221,3,382.7226781235769,1734.8417988201204,1180.9765228720391,1236.892180613636,-21.0102296228375,-18.1715311294741,-19.5632381238852,-24.0582071642648,0.514285714285714,1.47906066536204,2.37573385518591,2.8013698630137,-3.1802489450961993,-0.27600649571219904,-0.5596710499112003,-0.5703712155155003,3.0384808127582996,0.3717761819023,0.3637268624164989,0.6146124587199004,0.417808219178082,0.72426614481409,1.97847358121331,-18.4930335207653,-30.9665719872705,0.366731898238748,9.0,-21.37636562
9.5,1.95,BOIS,205,0.1,0.758317025440313,1.93874755381605,2.57436399217221,3,369.2347177704253,1722.1440941222816,1197.897792995973,1241.5745109751344,-19.064808591847,-18.4720854516038,-19.3890883486946,-24.1606421933591,0.508610567514677,1.473385518591,2.37573385518591,2.8013698630137,-2.5859767703377,-0.3195388537164998,-0.5263624760846994,-0.5666845605470989,2.4531522011936,0.40290515833270035,0.3281799251122983,0.6318306498064992,0.412133072407045,0.72426614481409,1.98414872798434,-18.3467760937018,-30.923380347988,0.36105675146771,9.0,-21.0190342
10,2.1,BOIS,205,0.1,0.746966731898239,1.92739726027397,2.56301369863014,3,359.56477349968964,1689.0198464884206,1181.7704417035175,1288.0552453385046,-18.9981351813397,-17.8339724079351,-19.4679273572969,-27.0945153099106,0.508610567514677,1.47906066536204,2.36438356164384,2.79001956947162,-2.5393838271890985,-0.3021303609958004,-0.5446108365015991,-0.8689216336232981,2.5097702308070016,0.4320322553046996,0.3475948315077986,0.9397384229452008,0.412133072407045,0.718590998043053,1.98414872798434,-18.2314829128235,-31.7505089913232,0.36105675146771,9.0,-20.80711323
