eps',eps'',Type,Diametre,r_m freq pic 1,r_m freq pic 2,r_m freq pic 3,r_m freq pic 4,r_m freq pic 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,t_p periodicite,t_m valeur 0.4 GHz
4,0.3,BOIS,206,0.1,0.7583170254,1.938747554,2.597064579,3,463.06017656619997,1648.7991017,1396.1434425339999,1193.49725074,-32.58001907,-16.08255228,-25.62266447,-25.88331982,0.5369863014,1.564187867,2.381409002,2.801369863,-8.978179099999998,-0.3564276599999996,-1.0308687000000027,-0.7727570899999989,5.778682289999999,0.48245690000000074,0.7257599500000005,0.8527817900000016,8.0,-25.7875255
4.5,0.45,BOIS,206,0.1,0.7412915851,1.91037182,2.591389432,3,454.2846070569,1633.0894604030002,1385.342994367,1226.4741956199998,-29.93217281,-17.08993017,-24.25378122,-27.28489192,0.5369863014,1.54148728,2.387084149,2.801369863,-5.727232979999997,-0.2920285000000007,-0.788544960000003,-0.9541708,5.729667940000002,0.5150554100000004,0.6649581799999993,0.9331967100000007,8.0,-25.16362211
5,0.6,BOIS,206,0.1,0.8945205479,1.887671233,2.585714286,3,516.2650950443001,1495.0669215480002,1359.641265097,1215.1633716,-29.38092798,-16.52568451,-23.36984228,-25.57609247,0.5313111546,1.513111546,2.387084149,2.801369863,-5.467824529999998,-0.24450657000000042,-0.7644292700000008,-0.7165426900000007,5.331599699999998,0.4443053999999993,0.6228784400000009,0.7445699299999973,8.5,-24.51770637
5.5,0.75,BOIS,206,0.1,0.8774951076,2.029549902,2.580039139,3,500.5504845577,1731.1708974400003,1174.381489303,1211.15874124,-28.35156163,-18.53786993,-21.74287958,-23.23615013,0.5313111546,1.490410959,2.398434442,2.80704501,-5.929037040000001,-0.3392158000000016,-0.6299551300000026,-0.48730006999999986,5.68989899,0.4497635500000001,0.5235064300000012,0.57638034,8.5,-23.94479464
6,0.9,BOIS,206,0.1,0.8547945205,2.006849315,2.568688845,3,498.89160411949996,1727.1564493009998,1136.204256646,1176.22421113,-38.37788361,-18.05783804,-20.19889084,-21.0930122,0.5256360078,1.467710372,2.387084149,2.795694716,-11.702388449999997,-0.3256777400000015,-0.5464572299999979,-0.37179108999999855,13.128889349999998,0.31597796000000145,0.43947920000000096,0.46031726000000006,9.0,-23.61245496
6.5,1,BOIS,206,0.1,0.843444227,1.995499022,2.557338552,3,483.6961365372,1726.1097549400001,1110.26552234,1222.9941861799998,-32.35127242,-17.49668267,-19.10909828,-21.9947186,0.5256360078,1.456360078,2.381409002,2.784344423,-8.66605328,-0.31894171999999976,-0.4869819900000003,-0.43110512000000156,9.83211211,0.2456204599999996,0.3528472299999983,0.5177050600000008,9.0,-23.2180184
7,1.1,BOIS,206,0.1,0.8264187867,1.984148728,2.568688845,3,468.4395655464,1739.070142314,1152.7328538749996,1223.1721640800001,-35.56604936,-17.09826704,-20.64573134,-22.83757612,0.5199608611,1.462035225,2.375733855,2.801369863,-10.99739975,-0.2888197899999998,-0.6398056700000012,-0.5052993199999989,10.51918332,0.26662714000000065,0.48803469000000277,0.5378951099999973,9.0,-22.73076425
7.5,1.25,BOIS,206,0.1,0.8093933464,1.967123288,2.540313112,3,445.5280231534,1705.986393438,1075.344248042,1326.81719745,-28.12264314,-16.81778513,-18.04793006,-26.41162648,0.5142857143,1.479060665,2.364383562,2.778669276,-6.571050240000002,-0.2661712300000012,-0.4670437500000002,-0.8278167200000013,5.8190013,0.2669886899999998,0.3062709500000018,0.8671052100000018,9.0,-22.56449105
8,1.4,BOIS,206,0.1,0.7923679061,1.967123288,2.563013699,3,424.0160205066,1765.585034285,1169.663029153,1285.03363591,-26.3713269,-18.01913123,-20.55938485,-24.9945125,0.5142857143,1.484735812,2.370058708,2.795694716,-5.333428210000001,-0.2623516600000002,-0.6331692400000009,-0.6495597999999987,5.545240459999999,0.3048420899999993,0.44978113000000164,0.6753544500000004,9.0,-22.26919601
8.5,1.6,BOIS,206,0.1,0.7810176125,1.955772994,2.568688845,3,406.03418997550006,1774.2970002890002,1177.6409737150002,1276.21798342,-24.36601301,-18.59732429,-19.75079496,-24.67954177,0.5086105675,1.473385519,2.375733855,2.795694716,-4.20808448,-0.2639139100000012,-0.5605121599999983,-0.5993628900000019,4.357520860000001,0.3300884100000001,0.36453618000000176,0.634277749999999,9.0,-21.63155089
9,1.8,BOIS,206,0.1,0.769667319,1.944422701,2.568688845,3,383.2854642104,1751.5214846549998,1184.221031662,1249.68668221,-20.63204615,-18.49988604,-20.49674523,-24.38790494,0.5086105675,1.473385519,2.370058708,2.801369863,-2.9687646599999997,-0.277227289999999,-0.638624440000001,-0.5994497299999999,2.9456990900000015,0.3717840999999993,0.44407506000000296,0.6498594900000008,9.0,-21.23174919
9.5,1.95,BOIS,206,0.1,0.7583170254,1.938747554,2.568688845,3,370.0763075469,1748.6357367919998,1193.0292377470003,1258.6730001700003,-19.49183116,-18.76537331,-19.93803165,-24.97333815,0.5086105675,1.473385519,2.370058708,2.795694716,-2.6838390400000005,-0.31985844000000085,-0.5770116499999993,-0.6509067200000018,2.5675424500000013,0.4167799599999995,0.37887319999999747,0.7133413800000028,9.0,-21.0184516
10,2.1,BOIS,206,0.1,0.7469667319,1.933072407,2.568688845,3,358.08809503440006,1759.689960507,1236.5298716599998,1238.30000134,-18.95709956,-18.89397262,-21.94281379,-23.28973356,0.5086105675,1.484735812,2.364383562,2.801369863,-2.50178837,-0.32455652000000157,-0.7209412799999981,-0.5063241000000005,2.521950839999999,0.4676826800000011,0.5203333900000011,0.5682771500000001,9.0,-20.70909992
10.5,2.3,BOIS,206,0.1,0.7526418787,1.933072407,2.574363992,3,352.93269930680003,1787.5157720330005,1255.4600327590001,1213.26361929,-18.36957126,-19.35650689,-22.1020371,-22.24383974,0.5086105675,1.496086106,2.375733855,2.801369863,-2.39876819,-0.36340231000000145,-0.7059397800000013,-0.4251931500000019,2.3574476499999992,0.5442138700000001,0.49792937999999864,0.4990448200000017,9.0,-20.63860776
11,2.5,BOIS,206,0.1,0.7583170254,1.92739726,2.563013699,3,349.7657933282,1746.580748028,1217.757932885,1255.3585362600002,-17.58162881,-18.70009618,-21.67320828,-23.86200602,0.5086105675,1.52446184,2.370058708,2.801369863,-2.2420062199999986,-0.3710790900000003,-0.6920210000000004,-0.5497280999999994,2.20871032,0.588144999999999,0.4829360699999974,0.6392251400000006,9.0,-20.52790949
11.5,2.65,BOIS,206,0.1,0.7526418787,1.921722114,2.563013699,3,344.3351089308,1777.9936047879999,1201.000896127,1222.58041904,-17.23146276,-20.10766025,-20.16815718,-22.88057105,0.5086105675,1.52446184,2.364383562,2.801369863,-2.1511625500000005,-0.39380994999999963,-0.5780351599999989,-0.5052492599999994,2.1237615400000003,0.69987742,0.391224170000001,0.589505459999998,9.0,-20.39193567
12,2.8,BOIS,206,0.1,0.7526418787,1.92739726,2.568688845,3,341.6648499901001,1796.4784018339997,1239.665849079,1197.4567386200001,-16.88673985,-21.05530614,-21.8387581,-21.70236415,0.5086105675,1.52446184,2.370058708,2.80704501,-2.0560626000000006,-0.40719179999999966,-0.6699195200000005,-0.4214217100000006,2.02917167,0.805727319999999,0.49219984999999866,0.502311259999999,9.0,-20.32922635
12.5,2.95,BOIS,206,0.1,0.7469667319,1.921722114,2.568688845,3,338.9368168647,1727.891565855,1246.407906831,1206.7744888400002,-16.87305027,-19.94445214,-22.33147303,-23.03131505,0.5086105675,1.52446184,2.364383562,2.812720157,-2.059539280000001,-0.36229575000000125,-0.721224320000001,-0.5473804499999986,2.0156291,0.7697850099999997,0.5505145599999999,0.6066061699999992,9.0,-20.30712806
13,3.1,BOIS,206,0.1,0.7469667319,1.92739726,2.574363992,3,337.84847710979994,1725.6377429500003,1245.382395067,1194.4185555000001,-16.64238346,-20.68908189,-21.04105479,-23.61923053,0.5086105675,1.530136986,2.370058708,2.80704501,-1.992291999999999,-0.43875886999999736,-0.592898120000001,-0.6095143600000021,1.925653109999999,0.858796250000001,0.44043793000000164,0.67697918,9.0,-20.31050262
13.5,3.25,BOIS,206,0.1,0.7412915851,1.92739726,2.591389432,3,335.53659068679997,1750.7931370430001,1341.248791182,1124.0768558900002,-16.39917071,-21.63946138,-23.61007877,-21.14730102,0.5086105675,1.518786693,2.370058708,2.818395303,-2.00438898,-0.4980838700000021,-0.7613662499999982,-0.4205465100000012,1.932848889999999,0.9612154800000035,0.6284096599999991,0.46851710000000324,9.0,-20.14551832
14,3.4,BOIS,206,0.1,0.8377690802,1.92739726,2.608414873,3,373.12486563309994,1707.9472826200004,1334.872690178,1092.76450978,-16.26590855,-22.63270255,-20.08000345,-20.79326759,0.5086105675,1.518786693,2.387084149,2.801369863,-1.9491805400000004,-0.650796119999999,-0.48085507999999777,-0.3638049799999976,1.8389655900000008,1.0847336299999988,0.3095181999999994,0.42761151999999925,9.0,-20.14031907
14.5,3.55,BOIS,206,0.1,0.8320939335,1.921722114,2.61409002,3,371.859823716,1746.113498483,1375.0628048,1043.30482423,-16.1781059,-24.43499957,-21.17027448,-20.1886145,0.5086105675,1.513111546,2.370058708,2.812720157,-1.9871922800000004,-0.855743910000001,-0.5542490300000011,-0.3833687700000006,1.89285688,1.3193240199999998,0.4364158300000014,0.40610586999999754,9.0,-20.07839351
15,3.7,BOIS,206,0.1,0.8320939335,1.921722114,2.625440313,3,369.42009284,1742.5360357979996,1418.4364151059997,1018.43657956,-16.00608383,-25.33145903,-22.08194485,-20.33545278,0.5029354207,1.518786693,2.381409002,2.812720157,-1.9827379900000004,-1.070354420000001,-0.6051637599999999,-0.38737732999999963,1.88533172,1.4811905799999998,0.48470853999999974,0.42692573000000067,9.0,-20.06798907
15.5,3.85,BOIS,206,0.1,0.8264187867,1.91037182,2.619765166,3,366.95278797870003,1747.142852341,1458.2390818630001,1046.25220511,-16.29413897,-25.33161781,-22.32367181,-20.54966259,0.5029354207,1.507436399,2.381409002,2.795694716,-1.9919322500000014,-1.0081695800000006,-0.5882593499999977,-0.37186439999999976,1.8654678799999989,1.4833339300000006,0.43476782000000114,0.4211365399999991,10.0,-19.68493079
16,4,BOIS,206,0.1,0.8264187867,1.91037182,2.63111546,3,366.77986588799996,1737.139466186,1405.2912535589999,1014.0915100999999,-15.98812268,-27.20838154,-20.16434446,-20.61359905,0.5029354207,1.507436399,2.387084149,2.812720157,-1.9429658299999986,-1.4768743499999992,-0.4731140399999987,-0.4070510299999981,1.8339623200000013,1.859040310000001,0.31470468000000196,0.4267305499999985,10.0,-20.07874589
