eps',eps'',Type,Diametre,r_m freq pic 1,r_m freq pic 2,r_m freq pic 3,r_m freq pic 4,r_m freq pic 5,r_m surface bande_freq 1,r_m surface bande_freq 2,r_m surface bande_freq 3,r_m surface bande_freq 4,r_m minimum bande_freq 1,r_m minimum bande_freq 2,r_m minimum bande_freq 3,r_m minimum bande_freq 4,r_m freq minimum bande_freq 1,r_m freq minimum bande_freq 2,r_m freq minimum bande_freq 3,r_m freq minimum bande_freq 4,r_m minimum derivee bande_freq 1,r_m minimum derivee bande_freq 2,r_m minimum derivee bande_freq 3,r_m minimum derivee bande_freq 4,r_m maximum derivee bande_freq 1,r_m maximum derivee bande_freq 2,r_m maximum derivee bande_freq 3,r_m maximum derivee bande_freq 4,r_m valeur 2.2 GHz,r_m freq maximum bande_freq 1,t_m valeur 0.4 GHz,t_m maximum bande_freq 1 + surface,t_m surface 0.65 GHz,t_m maximum bande_freq 1,t_m freq minimum bande_freq 1
1,0,BOIS,VIGNE,0.1,1.53106,2.9,3.0,3.64246,119.46921695758705,482.7794350381339,154.93175649082238,424.5123895665526,-1.49759212118208,-14.1288254189384,-14.1412940903452,-10.8415013586237,0.99148,2.89956,2.90738,3.00122,-0.027821507080439956,-0.4165898011054008,0.06297609261680037,0.0016568760981598984,0.028158814100299967,-0.0005406781318080256,0.3502417574315011,0.3303540719698006,-1.11372874725222,1.5388800000000002e-09,-49.0860031571606,-35.22154159172105,14.399346113829841,-35.22154159172105,1.60926
2,0.1,BOIS,VIGNE,0.1,1.3903,2.9,3.0,3.66592,116.6158220186723,698.5521019957738,152.5214461165392,464.1553218547207,-1.53959716194127,-18.4948829692485,-15.4389184849835,-10.1109932852508,0.94456,2.85264,2.90738,3.00122,-0.02953437450235996,-0.6645587809729996,0.33796225935610025,0.0009511568250903935,0.029386956748540083,0.5833699435706983,0.5752181206710993,0.3010919280963904,-1.43522710810488,1.3903000000000003e-09,-46.6247998380456,-35.04939392200987,17.24985361506467,-35.04939392200987,1.39812
3,0.2,BOIS,VIGNE,0.1,1.26518,2.9,3.0,3.4626,105.61922952173677,952.5477234231798,126.58157410966119,350.1734663406131,-1.48422334067222,-25.1744546437967,-12.2292493263593,-8.93796497077124,0.90546,2.76662,2.90738,3.00122,-0.029249118578080102,-1.3334595535438005,0.2143217703034903,0.0015870995114104502,0.02739605233986997,1.1887849426796997,0.36623978941890023,0.19591202002447083,-1.69971519425764,1.273e-09,-45.542487659172,-35.679618477973925,18.68289100920862,-35.679618477973925,1.24172
4,0.3,BOIS,VIGNE,0.1,1.14788,2.9,3.0,3.59554,89.02604530662187,1156.3294722282074,122.13529575461807,478.9026227565217,-1.3393917366163,-34.4713952263342,-11.7823994687064,-8.69832388392674,0.882,2.75098,2.90738,3.00122,-0.026458037286706038,-3.141979568129301,0.1897197716513599,0.0011055769116996572,0.019287127411270033,3.176279300617402,0.3567099962745992,0.16799337946306991,-1.91013867608521,1.1557e-09,-44.9345585177397,-36.68205250803829,18.865599913444463,-36.68205250803829,1.1166
5,0.6,BOIS,VIGNE,0.1,1.77348,2.8,2.9,3.0,195.3750973767822,824.7145775023035,210.76575669453013,139.8839030114523,-1.46277319684026,-25.1888520501985,-19.9946011663276,-13.0656261535856,0.882,2.75098,2.80572,2.90738,-0.02883112394104015,-1.1441309492711014,0.3488582607110011,0.18016378970770042,0.012022683933950118,1.0056594202288984,0.8361751720176009,0.3066187370947997,-2.34234432905129,1.77348e-09,-45.1034052726491,-38.281829549039955,20.997570328954104,-38.281829549039955,1.05404
6,0.9,BOIS,VIGNE,0.1,1.71092,2.8,2.9,3.0,198.60470821120379,837.2393981183941,210.3955313747835,147.3989473704239,-1.57166857778991,-21.0785508056323,-18.7643932923608,-13.647293405146,0.88982,2.75098,2.80572,2.90738,-0.031068525041750172,-0.6236513928747982,0.31421019764010083,0.18295514926339962,0.008497143227510051,0.4589911636286992,0.4762762138749004,0.2864551111998992,-2.64211489808692,1.7109200000000001e-09,-44.559604520195,-38.1896482146919,22.270611368074405,-38.1896482146919,1.0384
7,1.1,BOIS,VIGNE,0.1,1.64836,2.8,2.9,3.0,192.8855121992013,841.9524459125145,218.96712202335428,162.07588169948082,-1.5752974887875,-19.2191979768465,-18.6011159853574,-14.8002581030974,0.9211,2.76662,2.80572,2.90738,-0.030167089517989965,-0.43273741261559984,0.2554097292440005,0.19328846558279977,0.00867649155215,0.18168868053920306,0.31233080462350316,0.2603340198878996,-2.75051146724186,1.64836e-09,-44.6925667999248,-39.10896954935382,22.217399383090555,-39.10896954935382,0.98366
8,1.4,BOIS,VIGNE,0.1,1.59362,2.8,2.9,3.0,186.17433852408953,839.1099425504624,238.6120613173916,177.31646066323017,-1.65555103457322,-19.1781915185916,-19.2334905086858,-16.5149625344279,0.97584,2.7979,2.81354,2.90738,-0.029215002516300048,-0.3699715717829992,-0.0023464633718006667,0.2843635492857999,0.01159706182924003,-0.0010156541435399902,0.31762045999369803,0.3242101679379985,-2.86478097010496,1.5936200000000001e-09,-44.6588310174798,21.184204536147384,21.184204536147384,-39.78004059330152,0.94456
9,1.8,BOIS,VIGNE,0.1,1.5467,2.8,2.9,3.0,170.73873342255362,815.5925832461159,278.52713239194253,196.61794633025437,-1.64990776937707,-20.0464574391681,-22.3076887488617,-19.2745548373602,1.01494,2.7979,2.84482,2.90738,-0.025221799114020005,-0.546397445303203,-0.5039867466969987,0.3982072405795005,0.014896165071839995,-0.0011526451237298119,0.5662497524117995,0.5784128536647977,-2.9932817202801,1.5467e-09,-44.5921952641701,18.241175125295086,18.241175125295086,-40.121374032011744,0.88982
10,2.1,BOIS,VIGNE,0.1,1.49978,2.9,3.0,3.97872,158.75417072075902,1123.683113709484,205.02062716125738,646.5614430683494,-1.66129230363439,-27.2175689591789,-21.0519745622302,-13.5292707136279,1.06186,2.85264,2.90738,3.00122,-0.031057670986279984,-1.1168674533114995,0.4507877301663985,0.0007521468074300763,0.018540028629329797,1.1099126062464002,0.9135069836585004,0.40354213938180017,-3.12236868564494,1.49978e-09,-44.423243879306,16.920432434802002,16.920432434802002,-39.83470569763743,0.87418
11,2.5,BOIS,VIGNE,0.1,1.49978,2.9,3.0,3.97872,144.8786715159771,1069.2254169141079,242.1894250307795,664.6238685497229,-1.5660889824985,-31.2549713613682,-26.6676564006838,-15.0666437240514,1.13224,2.88392,2.90738,3.00122,-0.03224639816559005,-1.8735534447086017,0.5944458569201991,0.0011809632364201406,0.02062412682484016,1.7571224952936007,1.6782479227804004,0.5178279254819991,-3.16376863888328,1.49978e-09,-44.1274432374308,15.554297085012982,15.554297085012982,-39.13614499747148,0.85854
