Date,Rn,Rg,RH,Ta,Pa,Tbc,P
2021-03-01 00:00:0,-75.42137,0.0,77.90833,9.025,1017.2321599999999,8.266666,0.0
2021-03-01 00:30:0,-75.49313000000001,0.0,77.84666,9.051666,1017.3960800000001,8.5,0.0
2021-03-01 01:00:0,-74.06361,0.0,79.59333000000001,8.679999,1017.57332,7.868333,0.0
2021-03-01 01:30:0,-73.60986,0.0,81.24667,8.386666,1017.57872,7.8616660000000005,0.0
2021-03-01 02:00:0,-70.45692,0.0,84.80333,7.6516660000000005,1017.58148,6.665,0.0
2021-03-01 02:30:0,-69.63176999999999,0.0,86.88,7.218333,1017.57068,5.574576,0.0
2021-03-01 03:00:0,-70.96175,0.0,87.87833,7.03,1017.3692,6.1283330000000005,0.0
2021-03-01 03:30:0,-69.76549,0.0,89.26666999999999,6.7916669999999995,1017.42836,5.705,0.0
2021-03-01 04:00:0,-67.56618,0.0,90.34666,6.58,1017.3557599999999,4.528333,0.0
2021-03-01 04:30:0,-66.88474000000001,0.0,92.36667,6.058333,1017.17024,3.853333,0.0
2021-03-01 05:00:0,-66.37893000000001,0.0,94.925,5.228333,1017.0600800000001,4.13,0.0
2021-03-01 05:30:0,-65.44788,0.0,95.62,5.061666000000001,1017.02396,4.008333,0.0
2021-03-01 06:00:0,-64.24809,0.0,95.35667,5.088333,1017.03704,3.48,0.0
2021-03-01 06:30:0,-66.33654,0.0,95.74999,4.784999,1017.09332,3.436667,0.0
2021-03-01 07:00:0,-64.85138,0.0,96.24833000000001,4.476666000000001,1017.18944,3.318333,0.0
2021-03-01 07:30:0,-61.04589,0.0,96.64999,4.235,1017.5418800000001,2.805,0.0
2021-03-01 08:00:0,-49.487770000000005,8.130463,96.885,4.146667,1017.53444,2.308475,0.0
2021-03-01 08:30:0,-2.286495,63.111169999999994,97.05999,4.135,1017.5912,3.3433330000000003,0.0
2021-03-01 09:00:0,58.26667,140.8019,96.79666,4.841667,1017.72008,4.37,0.0
2021-03-01 09:30:0,131.7952,233.2858,94.60332,6.568333,1017.7986800000001,5.885,0.0
2021-03-01 10:00:0,197.2167,315.1629,87.5,8.606666,1017.84236,8.086666000000001,0.0
2021-03-01 10:30:0,252.8073,383.8912,80.44999,10.09333,1017.9363199999999,10.11667,0.0
2021-03-01 11:00:0,319.5779,461.1701,75.795,11.043330000000001,1017.7736,11.338330000000001,0.0
2021-03-01 11:30:0,372.1184,521.3021,72.24332,11.84667,1017.57776,12.33,0.0
2021-03-01 12:00:0,373.2251,515.8805,68.99332,12.5,1017.5939599999999,13.035,0.0
2021-03-01 12:30:0,459.6045,616.7252,66.085,13.233329999999999,1017.4586,13.91167,0.0
2021-03-01 13:00:0,422.6416,578.5782,63.268330000000006,13.845,1017.11696,14.655,0.0
